Ranker Names,TPE Rankings,Bee,RAmenAmen,Gwen,Juke,Ara,Beavie,Faelax,Luke,Packer,Sky,Toaster,Averages,Rankings,Lowest,Highest
Atlanta,12,,9,11,,,10,,8,,10,,9.6,10,11,8
Baltimore,19,,16,16,,,16,,15,,16,,15.8,15,16,15
Buffalo,11,,6,6,,,5,,3,,3,,4.6,5,6,3
Calgary,15,,11,10,,,11,,11,,13,,11.2,11,13,10
Chicago,17,,17,17,,,17,,16,,17,,16.8,17,17,16
Cincinnati,18,,20,21,,,20,,19,,20,,20,20,21,19
Denver,6,,2,2,,,2,,4,,1,,2.2,2,4,1
Edmonton,1,,5,5,,,7,,2,,8,,5.4,6,8,2
Hamilton,4,,12,13,,,12,,12,,11,,12,12,13,11
Los Angeles,16,,19,19,,,19,,17,,18,,18.4,19,19,17
Madison,14,,15,14,,,15,,20,,15,,15.8,15,20,14
Manhattan,24,,24,24,,,24,,24,,24,,24,24,24,24
Minnesota,5,,4,3,,,4,,6,,5,,4.4,4,6,3
Montreal,20,,22,23,,,22,,22,,23,,22.4,22,23,22
Nashville,10,,7,8,,,8,,10,,6,,7.8,8,10,6
New England,2,,3,4,,,3,,5,,4,,3.8,3,5,3
New Orleans,9,,14,15,,,14,,14,,14,,14.2,14,15,14
Philadelphia,7,,10,9,,,9,,9,,9,,9.2,9,10,9
San Francisco,23,,23,22,,,23,,23,,21,,22.4,22,23,21
Seattle,3,,1,1,,,1,,1,,2,,1.2,1,2,1
Tampa Bay,22,,21,20,,,21,,21,,22,,21,21,22,20
Texas,8,,13,12,,,13,,13,,12,,12.6,13,13,12
Toronto,13,,8,7,,,6,,7,,7,,7,7,8,6
Winnipeg,21,,18,18,,,18,,18,,19,,18.2,18,19,18
