id,name,position,league,team,season,gamesPlayed,minutes,wins,losses,ot,shotsAgainst,saves,goalsAgainst,gaa,shutouts,savePct,gameRating,rookie,pos,pos_broad
1,Cedric Robinson,G,0,BUF,53,4,249,0,3,1,171,152,19,4.57,0,0.889,66,FALSE,Goalie,Goalie
67,Geezus Kryyst,G,0,HAM,53,15,913,12,3,0,438,412,26,1.71,2,0.941,82,FALSE,Goalie,Goalie
132,Peter Larson,G,0,MAN,53,6,361,2,4,0,197,182,15,2.49,1,0.924,78,FALSE,Goalie,Goalie
165,Johannes Leitner,G,0,NEW,53,11,663,5,5,1,349,324,25,2.26,1,0.928,77,FALSE,Goalie,Goalie
264,Kata Vilde,G,0,CGY,53,7,434,3,3,1,243,222,21,2.9,0,0.914,71,FALSE,Goalie,Goalie
297,Emiko Spector,G,0,EDM,53,9,535,5,3,0,288,265,23,2.58,0,0.92,71,FALSE,Goalie,Goalie
298,Tommy Tuck,G,0,EDM,53,9,607,5,3,1,317,300,17,1.68,0,0.946,86,FALSE,Goalie,Goalie
429,Knox Booth,G,0,LAP,53,10,708,3,2,5,351,321,30,2.54,0,0.915,73,FALSE,Goalie,Goalie
430,Nolan McMahon,G,0,LAP,53,1,60,1,0,0,15,13,2,2,0,0.867,55,FALSE,Goalie,Goalie
463,Aleister Cain,G,0,NOL,53,7,423,3,4,0,266,244,22,3.12,0,0.917,74,FALSE,Goalie,Goalie
1,Cedric Robinson,G,0,BUF,54,1,10,0,0,0,2,2,0,0,0,0.999,52,FALSE,Goalie,Goalie
33,Tibuk Soonika,G,0,CHI,54,6,376,2,2,2,238,220,18,2.87,0,0.924,80,FALSE,Goalie,Goalie
66,Elle Rush,G,0,HAM,54,1,3,0,0,0,1,1,0,0,0,0.999,48,FALSE,Goalie,Goalie
67,Geezus Kryyst,G,0,HAM,54,15,929,8,6,1,532,485,47,3.03,0,0.912,77,FALSE,Goalie,Goalie
132,Peter Larson,G,0,MAN,54,4,246,0,3,1,179,166,13,3.16,0,0.927,83,FALSE,Goalie,Goalie
264,Kata Vilde,G,0,CGY,54,5,299,1,3,1,148,135,13,2.61,0,0.912,74,FALSE,Goalie,Goalie
297,Emiko Spector,G,0,EDM,54,6,384,2,2,2,165,145,20,3.12,1,0.879,65,FALSE,Goalie,Goalie
429,Knox Booth,G,0,LAP,54,12,649,7,4,1,340,305,35,3.23,1,0.897,66,FALSE,Goalie,Goalie
430,Nolan McMahon,G,0,LAP,54,3,86,0,0,0,46,43,3,2.08,0,0.935,65,FALSE,Goalie,Goalie
463,Aleister Cain,G,0,NOL,54,17,1058,12,3,2,666,615,51,2.89,0,0.923,81,FALSE,Goalie,Goalie
738,"Olli Saarinen, Jr",G,0,NOL,54,1,7,0,0,0,0,0,0,0,0,0,48,FALSE,Goalie,Goalie
834,Elizabeth Doyle,G,0,BUF,54,13,807,7,5,1,440,406,34,2.53,1,0.923,76,TRUE,Goalie,Goalie
33,Tibuk Soonika,G,0,CHI,55,5,298,1,4,0,197,185,12,2.41,0,0.939,81,FALSE,Goalie,Goalie
66,Elle Rush,G,0,CGY,55,1,0,0,0,0,1,1,0,0,0,0.999,51,FALSE,Goalie,Goalie
132,Peter Larson,G,0,MAN,55,7,427,3,3,1,271,250,21,2.95,0,0.923,81,FALSE,Goalie,Goalie
264,Kata Vilde,G,0,CGY,55,6,362,2,4,0,244,222,22,3.65,0,0.91,74,FALSE,Goalie,Goalie
297,Emiko Spector,G,0,EDM,55,11,670,7,3,1,351,321,30,2.68,0,0.915,70,FALSE,Goalie,Goalie
463,Aleister Cain,G,0,NOL,55,20,1229,11,5,4,764,701,63,3.07,0,0.918,80,FALSE,Goalie,Goalie
