id,name,position,league,team,season,gamesPlayed,timeOnIce,goals,assists,points,plusMinus,pim,ppGoals,ppAssists,ppPoints,ppTimeOnIce,shGoals,shAssists,shPoints,shTimeOnIce,gwg,faceoffs,faceoffWins,fights,fightWins,fightLosses,hits,giveaways,takeaways,shotsBlocked,shotsOnGoal,gameRating,offensiveGameRating,defensiveGameRating,rookie,advancedStats_PDO,advancedStats_GF60,advancedStats_GA60,advancedStats_SF60,advancedStats_SA60,advancedStats_CF,advancedStats_CA,advancedStats_CFPct,advancedStats_CFPctRel,advancedStats_FF,advancedStats_FA,advancedStats_FFPct,advancedStats_FFPctRel,pos,pos_broad
6,Poopity Scoop,LD,0,BUF,53,4,6069,0,2,2,-6,0,0,1,1,715,0,0,0,408,NA,NA,NA,0,0,0,10,0,3,4,14,67,59,71,FALSE,90.4,0.7,4.4,24.7,34.9,82,89,48,12.4,50,69,42,5.2,Defense,Defense
9,Tatu Makela,RD,0,BUF,53,4,4858,0,0,0,0,4,0,0,0,0,0,0,0,129,NA,NA,NA,0,0,0,6,0,4,13,5,58,53,62,FALSE,105.7,2.3,2.3,21.3,45.7,55,115,32.4,-11.5,40,81,33.1,-8.4,Defense,Defense
10,Cassius Darrow,RD,0,BUF,53,4,5987,1,0,1,-6,2,1,0,1,715,0,0,0,323,NA,NA,NA,0,0,0,2,2,4,9,7,63,54,71,FALSE,90.4,0.7,4.4,24.7,34.9,82,89,48,12.4,50,69,42,5.2,Defense,Defense
11,Satoshi Zizagooney,LD,0,BUF,53,4,5104,0,1,1,0,0,0,0,0,204,0,0,0,91,NA,NA,NA,0,0,0,2,2,0,8,3,59,55,62,FALSE,105.7,2.2,2.2,21,44.9,55,115,32.4,-11.5,40,81,33.1,-8.4,Defense,Defense
15,Viktor Marius,RW,0,BUF,53,4,5014,0,0,0,-6,0,0,0,0,187,0,0,0,69,NA,NA,NA,0,0,0,5,1,1,4,13,55,62,46,FALSE,90.8,1.5,6.1,25.7,40.1,70,94,42.7,4.2,52,73,41.6,4.6,Forward,Wing
16,Nicolaj Muller,LW,0,BUF,53,4,4209,0,1,1,-3,0,0,0,0,204,0,0,0,28,NA,NA,NA,0,0,0,3,6,1,4,9,54,52,53,FALSE,97.9,0.9,3.6,19,52.5,48,104,31.6,-12,34,78,30.4,-12,Forward,Wing
20,Bobby Sharp,C,0,BUF,53,4,5098,1,1,2,-6,0,0,0,0,187,0,0,0,68,NA,NA,NA,0,0,0,1,3,3,5,7,60,62,50,FALSE,90.9,1.5,5.9,26,40.1,71,95,42.8,4.4,53,74,41.7,4.9,Forward,Center
21,Hippo Passamus,LW,0,BUF,53,4,5260,1,1,2,-7,0,0,0,0,187,0,0,0,134,NA,NA,NA,0,0,0,12,3,2,3,6,63,69,49,FALSE,89,1.5,6.6,25.5,39.4,71,96,42.5,4,53,75,41.4,4.4,Forward,Wing
22,Michael Scarn,C,0,BUF,53,4,5688,0,3,3,-1,2,0,2,2,732,0,0,0,290,NA,NA,NA,0,0,0,16,4,1,2,8,71,68,71,FALSE,101,2.3,2.3,30.1,34.7,78,95,45.1,8.1,52,66,44.1,8.2,Forward,Center
23,Monkey D. Luffy,LW,0,BUF,53,4,5355,1,3,4,-1,0,0,1,1,732,0,0,0,78,NA,NA,NA,0,0,0,4,3,1,5,16,60,67,52,FALSE,101.1,2.4,2.4,30.1,34.9,76,94,44.7,7.4,50,65,43.5,7.2,Forward,Wing
29,Alexander Selich,RW,0,BUF,53,4,5505,2,2,4,-1,4,1,0,1,732,0,0,0,134,NA,NA,NA,0,0,0,3,2,3,9,11,69,68,70,FALSE,101.1,2.3,2.3,29.5,34.1,77,94,45,7.9,51,65,44,8,Forward,Wing
536,Nicholas Owens,LD,0,BUF,53,4,3800,0,1,1,-4,2,0,0,0,0,0,0,0,28,NA,NA,NA,0,0,0,6,2,0,2,2,54,49,58,TRUE,93.8,1.9,5.7,30.5,45.8,58,90,39.2,-1,47,68,40.9,3.4,Defense,Defense
545,Aron Hernadivic,RW,0,BUF,53,4,4179,1,0,1,-3,0,0,0,0,0,0,0,0,134,NA,NA,NA,0,0,0,1,3,1,7,4,50,53,46,TRUE,97.9,0.9,3.6,18.7,51.6,47,105,30.9,-13,33,79,29.5,-13.3,Forward,Wing
568,Augustus Wang,RD,0,BUF,53,4,3954,1,0,1,-4,0,0,0,0,0,0,0,0,228,NA,NA,NA,0,0,0,1,0,0,5,7,52,54,49,TRUE,93.8,1.9,5.8,30.9,46.4,58,90,39.2,-1,47,68,40.9,3.4,Defense,Defense
617,Rintarou Okabe,C,0,BUF,53,4,4180,0,0,0,-3,0,0,0,0,0,0,0,0,135,NA,NA,NA,0,0,0,7,1,1,0,1,51,52,49,TRUE,97.9,0.9,3.6,18.7,51.6,47,105,30.9,-13,33,79,29.5,-13.3,Forward,Center
70,Tig Murphy,LD,0,HAM,53,15,19572,4,3,7,10,2,2,1,3,1736,0,0,0,284,NA,NA,NA,0,0,0,19,7,13,20,60,75,61,86,FALSE,103.5,2.9,0.8,42,24.4,382,234,62,4.7,283,173,62.1,5.9,Defense,Defense
71,Akashi SixNine,LD,0,HAM,53,15,16933,1,2,3,9,4,0,0,0,519,0,0,0,1023,NA,NA,NA,0,0,0,23,4,7,14,31,66,56,75,FALSE,103.5,2.8,0.9,39.8,26.4,330,202,62,4.4,238,152,61,3.9,Defense,Defense
74,Jax Duggan,RD,0,HAM,53,15,18514,5,4,9,11,6,0,0,0,35,0,0,0,947,NA,NA,NA,0,0,0,21,3,5,19,31,56,52,59,FALSE,103.6,2.9,0.8,42.3,25.9,385,241,61.5,4,286,178,61.6,5.3,Defense,Defense
75,Gabriel Johnson,RD,0,HAM,53,15,18761,4,7,11,4,13,1,1,2,1746,0,0,0,334,NA,NA,NA,0,0,0,26,5,11,40,40,69,67,68,FALSE,102.8,3,2.2,30.6,30.6,280,257,52.1,-10.1,200,193,50.9,-10.9,Defense,Defense
76,Samuel Michaud,LD,0,HAM,53,15,19296,3,3,6,5,0,0,1,1,532,0,1,1,1854,NA,NA,NA,0,0,0,36,12,7,11,19,61,52,68,FALSE,103.6,3.2,2.1,30.7,31.3,287,259,52.6,-9.5,204,196,51,-10.8,Defense,Defense
78,Dale Miller,LW,0,HAM,53,15,18806,6,3,9,10,2,0,0,0,555,0,0,0,1621,NA,NA,NA,0,0,0,9,9,4,11,35,61,64,56,FALSE,105.7,3.2,1.1,34.9,29.7,321,244,56.8,-3.3,236,182,56.5,-2.8,Forward,Wing
79,Jagger Fouquette,LW,0,HAM,53,15,17105,2,7,9,9,10,0,1,1,77,0,0,0,939,NA,NA,NA,0,0,0,51,7,7,4,30,58,62,52,FALSE,102.9,3.4,1.6,39.6,28,320,240,57.1,-2.8,234,179,56.7,-2.5,Forward,Wing
84,Robert Phelps,RW,0,HAM,53,15,18345,3,10,13,11,6,1,2,3,1636,0,0,0,178,NA,NA,NA,0,0,0,8,14,6,22,48,65,64,64,FALSE,106.2,3.5,1.1,35.7,30.7,321,249,56.3,-4.1,237,186,56,-3.5,Forward,Wing
86,Aaron Wilson,C,0,HAM,53,15,18724,3,8,11,4,0,0,2,2,1621,0,0,0,348,NA,NA,NA,0,0,0,31,4,4,2,46,73,78,61,FALSE,100.4,2.1,1.3,38.5,24.7,355,211,62.7,5.6,254,160,61.4,4.5,Forward,Center
87,Skao Anazibf,C,0,HAM,53,15,18275,4,5,9,12,20,0,0,0,590,0,0,0,912,NA,NA,NA,0,0,0,13,6,6,4,36,61,64,55,FALSE,106.3,3.4,1.1,34.8,30.3,322,247,56.6,-3.6,237,185,56.2,-3.3,Forward,Center
98,Hugh Jazz,RW,0,HAM,53,15,17224,1,7,8,4,0,0,0,0,555,0,0,0,260,NA,NA,NA,0,0,0,3,6,6,7,31,58,63,51,FALSE,99.8,2.2,1.3,38.4,22.4,351,194,64.4,8,250,146,63.1,7.1,Forward,Wing
216,Flacko Lagerfield,LW,0,HAM,53,15,18582,2,7,9,5,2,0,2,2,1601,0,0,0,218,NA,NA,NA,0,0,0,11,11,5,10,51,67,74,56,FALSE,100.9,2.4,1.3,38,24.3,352,210,62.6,5.4,252,159,61.3,4.5,Forward,Wing
417,Knute Knurtsson,C,0,HAM,53,15,17808,4,6,10,8,2,1,0,1,77,1,0,1,1685,NA,NA,NA,0,0,0,8,9,9,7,41,64,59,62,FALSE,102.5,3.4,1.6,39.9,26.5,320,231,58.1,-1.4,234,171,57.8,-0.8,Forward,Center
535,Troy McClure III,RD,0,HAM,53,15,17273,0,6,6,9,4,0,0,0,3,0,0,0,1726,NA,NA,NA,0,0,0,24,5,9,23,30,61,54,66,FALSE,103.9,3,0.9,40.1,25.9,332,204,61.9,4.3,243,153,61.4,4.5,Defense,Defense
621,Sophia Bennett,RW,0,HAM,53,15,16017,5,5,10,8,2,0,0,0,77,0,0,0,7,NA,NA,NA,0,0,0,6,6,7,13,39,65,68,62,FALSE,102.7,3.4,1.6,40.4,27.8,320,236,57.6,-2.2,234,176,57.1,-1.9,Forward,Wing
136,Andrej Doskocil,LD,0,MAN,53,6,8786,1,0,1,-5,2,0,0,0,0,0,0,0,822,NA,NA,NA,0,0,0,16,4,2,15,10,63,50,74,FALSE,93.4,1.8,4.1,28,31.2,110,123,47.2,3.9,79,90,46.7,4.4,Defense,Defense
137,Reginald MacIntyre,LD,0,MAN,53,6,8317,1,1,2,4,0,0,0,0,216,0,0,0,498,NA,NA,NA,0,0,0,15,6,3,7,16,69,43,89,FALSE,107.4,2.4,0.5,25.6,25.6,96,113,45.9,1.7,75,87,46.3,3.5,Defense,Defense
142,David Vent,RD,0,MAN,53,6,8186,1,0,1,4,2,0,0,0,634,0,0,0,0,NA,NA,NA,0,0,0,9,3,3,9,14,63,55,69,FALSE,107.3,2.4,0.5,25.7,24.3,96,110,46.6,2.7,74,84,46.8,4.3,Defense,Defense
143,Barret McCarthy,RD,0,MAN,53,6,9415,2,1,3,-5,2,0,0,0,634,0,0,0,859,NA,NA,NA,0,0,0,11,1,4,17,15,68,58,72,FALSE,93.4,1.8,4.1,28.2,31.4,109,123,47,3.5,78,90,46.4,3.8,Defense,Defense
144,Craig Finley,RD,0,MAN,53,6,4628,0,0,0,-2,0,0,0,0,0,0,0,0,598,NA,NA,NA,0,0,0,7,2,2,6,5,52,49,53,FALSE,95.9,0,1.8,25.9,43.8,59,88,40.1,-6.3,40,66,37.7,-8.3,Defense,Defense
146,Rainbow Dash,LW,0,MAN,53,6,7293,1,1,2,-4,2,0,0,0,341,0,0,0,42,NA,NA,NA,0,0,0,4,3,0,1,15,57,61,51,FALSE,93,1.6,3.6,30.7,30.2,105,116,47.5,4.3,77,85,47.5,5.5,Forward,Wing
147,Luke Thomason,C,0,MAN,53,6,8314,1,3,4,0,6,0,1,1,509,0,0,0,347,NA,NA,NA,0,0,0,14,1,3,7,15,69,69,65,FALSE,102.1,1.9,1.9,24.1,32.8,94,125,42.9,-3,69,94,42.3,-2.8,Forward,Center
148,David Kastrba,LW,0,MAN,53,6,6458,1,1,2,1,4,0,0,0,216,0,0,0,787,NA,NA,NA,0,0,0,9,1,1,4,4,68,61,74,FALSE,103.6,1.3,0.7,23.8,33,67,94,41.6,-4.4,49,74,39.8,-5.9,Forward,Wing
153,Jax Aittokallio,C,0,MAN,53,6,8467,1,2,3,-3,2,0,0,0,341,0,0,0,886,NA,NA,NA,0,0,0,7,2,7,7,22,70,66,72,FALSE,94.4,2,3.5,30.8,28.8,114,115,49.8,8.1,81,85,48.8,7.6,Forward,Center
