Game.Id,PlayerId,TeamId,Game.Rating,SA,GA,SV,SV.,TOI,PIM,season
0,563,21,0,0,0,0,.00nan,0,0,66
0,2522,21,73,25,2,23,.920,3600000,0,66
0,2650,9,91,52,5,47,.904,3600000,0,66
0,2709,9,0,0,0,0,.00nan,0,0,66
1,663,5,0,0,0,0,.00nan,0,0,66
1,1095,12,0,0,0,0,.00nan,0,0,66
1,1268,12,70,34,4,30,.882,3552850,0,66
1,1306,5,100,63,3,60,.952,3600000,0,66
2,566,19,0,0,0,0,.00nan,0,0,66
2,1739,10,57,5,0,5,1.000,354300,0,66
2,1912,10,62,50,6,44,.880,3245700,0,66
2,2357,19,65,19,2,17,.895,3600000,0,66
3,741,14,0,0,0,0,.00nan,0,0,66
3,849,13,59,34,5,29,.853,3600000,0,66
3,1413,14,46,41,7,34,.829,3582800,0,66
3,2259,13,0,0,0,0,.00nan,0,0,66
4,99,3,97,52,2,50,.962,3900000,0,66
4,135,1,90,34,2,32,.941,3900000,0,66
4,2179,1,0,0,0,0,.00nan,0,0,66
4,2279,3,0,0,0,0,.00nan,0,0,66
5,595,15,29,30,7,23,.767,2434600,0,66
5,834,0,0,0,0,0,.00nan,0,0,66
5,991,0,53,13,2,11,.846,3600000,0,66
5,2249,15,44,10,2,8,.800,1165400,0,66
6,465,8,40,31,6,25,.806,3600000,0,66
6,764,20,84,24,1,23,.958,3600000,0,66
6,1097,20,0,0,0,0,.00nan,0,0,66
6,2443,8,0,0,0,0,.00nan,0,0,66
7,99,3,55,33,5,28,.848,3549950,0,66
7,198,2,100,52,3,49,.942,3600000,0,66
7,1823,2,0,0,0,0,.00nan,0,0,66
7,2279,3,0,0,0,0,.00nan,0,0,66
8,232,7,80,34,3,31,.912,3600000,0,66
8,741,14,0,0,0,0,.00nan,0,0,66
8,1413,14,57,27,4,23,.852,3600000,0,66
8,2501,7,0,0,0,0,.00nan,0,0,66
9,849,13,43,26,5,21,.808,3600000,0,66
9,2259,13,0,0,0,0,.00nan,0,0,66
9,2571,11,0,0,0,0,.00nan,0,0,66
9,2575,11,47,40,7,33,.825,3575750,0,66
10,135,1,87,32,2,30,.938,3600000,0,66
10,465,8,0,0,0,0,.00nan,0,0,66
10,2179,1,0,0,0,0,.00nan,0,0,66
10,2443,8,19,26,7,19,.731,3600000,0,66
11,595,15,73,44,5,39,.886,3567300,0,66
11,1330,18,0,0,0,0,.00nan,0,0,66
11,2249,15,0,0,0,0,.00nan,0,0,66
11,2514,18,77,32,3,29,.906,3600000,0,66
12,1095,12,64,19,2,17,.895,3600000,0,66
12,1268,12,0,0,0,0,.00nan,0,0,66
12,2650,9,40,24,5,19,.792,1097800,0,66
12,2709,9,32,33,7,26,.788,2502200,0,66
13,36,4,63,24,3,21,.875,3514300,0,66
13,432,4,0,0,0,0,.00nan,0,0,66
13,563,21,96,36,2,34,.944,3600000,0,66
