TeamId,ES L1 LW,ES L1 C,ES L1 RW,ES L1 LD,ES L1 RD,ES L2 LW,ES L2 C,ES L2 RW,ES L2 LD,ES L2 RD,ES L3 LW,ES L3 C,ES L3 RW,ES L3 LD,ES L3 RD,ES L4 LW,ES L4 C,ES L4 RW,ES L4 LD,ES L4 RD,PP5on4 L1 LW,PP5on4 L1 C,PP5on4 L1 RW,PP5on4 L1 LD,PP5on4 L1 RD,PP5on4 L2 LW,PP5on4 L2 C,PP5on4 L2 RW,PP5on4 L2 LD,PP5on4 L2 RD,PP5on3 L1 LW,PP5on3 L1 C,PP5on3 L1 RW,PP5on3 L1 LD,PP5on3 L1 RD,PP5on3 L2 LW,PP5on3 L2 C,PP5on3 L2 RW,PP5on3 L2 LD,PP5on3 L2 RD,PP4on3 L1 F1,PP4on3 L1 F2,PP4on3 L1 LD,PP4on3 L1 RD,PP4on3 L2 F1,PP4on3 L2 F2,PP4on3 L2 LD,PP4on3 L2 RD,PK4on5 L1 F1,PK4on5 L1 F2,PK4on5 L1 LD,PK4on5 L1 RD,PK4on5 L2 F1,PK4on5 L2 F2,PK4on5 L2 LD...56,PK4on5 L2 LD...57,PK4on5 L3 F1,PK4on5 L3 F2,PK4on5 L3 LD...60,PK4on5 L3 LD...61,PK3on5 L1 F1,PK3on5 L1 LD,PK3on5 L1 RD,PK3on5 L2 F1,PK3on5 L2 LD...66,PK3on5 L2 LD...67,PK3on4 L1 F1,PK3on4 L1 LD,PK3on4 L1 RD,PK3on4 L2 F1,PK3on4 L2 LD...72,PK3on4 L2 LD...73,4on4 L1 F1,4on4 L1 F2,4on4 L1 LD,4on4 L1 RD,4on4 L2 F1,4on4 L2 F2,4on4 L2 LD...80,4on4 L2 LD...81,3on3 L1 F1,3on3 L1 LD,3on3 L1 RD,3on3 L2 F1,3on3 L2 LD...86,3on3 L2 LD...87,Shootout 1,Shootout 2,Shootout 3,Shootout 4,Shootout 5,Goalie 1,Goalie 2,Extra Attacker 1,Extra Attacker 2,...97,season
0,2154,1676,150,2553,1130,2161,1436,20,536,545,1170,1867,299,1837,1968,NA,NA,NA,NA,NA,1170,1867,299,150,1837,2154,1676,1436,1968,1130,1170,1867,299,150,1837,2154,1676,1436,1968,1130,299,1867,150,1837,1170,1676,1130,1968,2154,1867,1837,1968,2161,1676,2553,1130,20,1436,536,545,1867,1837,1968,1676,2553,1130,1867,1837,1968,1676,2553,1130,299,1867,1837,1968,150,1170,2553,1130,299,1867,1837,150,1170,1968,299,1170,150,1867,2154,834,991,299,1170,NA,66
1,157,1917,1269,1969,1466,933,583,768,703,877,1082,2668,2536,1376,2463,NA,NA,NA,NA,NA,157,1269,1917,768,1969,933,583,1082,2463,703,157,1269,1917,768,1969,933,583,1082,2463,703,1917,1269,2463,1969,2536,768,583,703,2536,1269,703,1466,1917,933,877,2463,583,157,1376,1969,2536,1466,877,1917,2463,703,2536,1466,877,1917,2463,703,1917,1269,1969,877,768,157,703,2463,1917,1269,1969,768,157,877,1269,768,157,1917,1082,135,2179,768,933,NA,66
2,1196,2728,86,2328,968,179,922,1312,2155,810,1876,2494,1353,669,539,NA,NA,NA,NA,NA,1196,2728,86,810,968,179,922,1353,2155,669,1196,922,86,810,968,179,2728,1353,2155,669,922,86,810,968,179,2728,2155,669,922,1353,539,669,2494,1876,2328,968,1196,1312,2155,810,2494,539,669,2728,2328,968,2494,539,669,2728,2328,968,922,86,669,968,2494,1196,2155,810,922,669,968,2494,2155,810,922,1196,86,179,2494,198,1823,922,86,NA,66
3,1943,780,1402,1113,841,2733,2585,1352,1300,481,2220,1239,1578,928,1945,NA,NA,NA,NA,NA,2220,1578,1402,481,1943,1239,780,1352,841,1113,2220,1578,1402,841,1943,1239,780,1352,481,1113,1402,780,1943,841,1239,2220,481,1113,2585,1943,1113,841,1578,780,928,1945,2733,2220,1300,481,1943,1300,841,2585,928,1945,1943,1300,1113,2585,928,1945,2220,780,1300,1945,1402,1239,1113,841,780,1402,1113,1239,2220,841,1943,2220,780,1352,1402,99,2279,2585,2220,NA,66
4,1319,2526,1817,732,1327,1824,2200,1063,1715,1497,2477,2285,2544,1866,851,NA,NA,NA,NA,NA,1824,2200,1063,732,1327,1319,2526,2544,1715,1497,1824,2200,1063,732,1327,1319,2526,2544,1715,1497,2200,1824,732,1327,2526,1319,1715,1497,1063,1319,732,1327,1817,2285,1715,1497,2477,2526,1866,851,1063,732,1327,1817,1715,1497,1063,732,1327,1817,1715,1497,1319,1824,732,1327,2200,2544,1715,1497,1319,1824,732,2200,2544,1715,1824,1319,1063,2200,1817,36,432,1824,2544,NA,66
5,1442,2768,1201,1500,1223,554,2652,1456,1213,1956,1394,91,1835,965,2331,NA,NA,NA,NA,NA,1394,91,2652,965,2331,1835,2768,554,1956,1213,1394,91,2652,965,2331,1835,2768,554,1956,1213,1394,91,2331,965,1835,2652,1956,1213,1456,1201,965,2331,1442,1394,1500,1223,2768,91,1213,1956,1456,965,1956,1394,1500,1213,1456,965,1956,1394,1500,1223,91,1394,965,2331,2652,1835,1213,1956,91,1394,2331,2652,1835,965,1394,2652,1201,91,554,1306,663,91,1394,NA,66
6,365,1029,408,1973,105,1264,920,52,941,742,2682,549,625,1378,107,NA,NA,NA,NA,NA,365,920,408,1973,941,52,1029,1264,105,742,365,920,408,1973,941,52,1029,1264,105,742,920,365,408,1973,1264,1029,105,941,1029,365,742,105,549,625,1378,1973,920,2682,107,941,1029,742,105,549,1378,1973,1029,742,105,549,941,1973,920,408,1973,105,365,1029,941,742,920,408,1973,365,1029,941,365,408,2682,920,941,565,67,920,365,NA,66
7,1254,1190,1872,1951,889,255,1282,692,2653,369,1847,1521,2689,2618,2665,NA,NA,NA,NA,NA,1254,1282,255,1951,1190,1847,692,1872,2665,889,1254,1190,255,1951,1282,692,1521,1872,2618,889,1254,1190,1951,889,1872,1282,2665,692,1254,1190,2653,369,692,1521,1951,889,2689,1282,2618,2665,1521,2653,369,1190,889,2618,1282,2653,889,1521,1951,369,1254,1190,1951,369,1872,1282,2653,889,1190,1254,1951,1282,1872,2653,255,1282,1254,692,1190,232,2501,1190,692,NA,66
8,917,2371,2427,1323,790,1862,1670,911,1808,1820,1398,284,2641,2629,1684,NA,NA,NA,NA,NA,2371,1670,2427,790,1820,917,284,911,1808,1323,917,2371,2427,790,1820,911,284,1862,1808,1323,2427,2371,917,790,911,284,1820,1808,1862,284,1323,1820,2641,1670,1808,1684,917,2371,2629,790,284,1323,790,1670,1808,1684,284,1323,790,1670,1808,1684,917,2371,1323,1808,911,284,1820,1684,2427,2371,790,917,284,1820,917,2427,790,911,2371,465,2443,911,284,NA,66
9,1904,2725,323,2750,2660,64,1897,1435,2630,2759,2659,2707,2690,1265,2697,NA,NA,NA,NA,NA,1435,323,64,1897,2630,1904,2707,2725,2660,2750,1435,2725,64,1897,2630,1904,2707,323,2660,2750,64,1897,2725,2630,323,1435,2707,2660,323,1897,2759,2660,64,2659,2630,2750,1435,2690,1265,2697,1897,2750,2660,323,2630,2759,1897,2750,2660,323,2630,2759,64,1904,2630,2660,323,1897,2750,2759,64,NA,2630,323,1897,2660,1435,64,1897,323,2630,2650,2709,1435,64,NA,66
10,55,2222,1386,1389,356,2681,2704,2672,1964,1259,2607,1465,2135,2724,1939,NA,NA,NA,NA,NA,55,2222,1386,1389,356,2681,2704,1465,1964,1259,55,2222,1386,1259,356,2681,2704,1465,1964,1389,55,1386,1259,356,2681,2704,1964,1389,55,1386,1259,356,1465,2704,1964,1389,2681,2672,2724,1939,1386,1259,356,55,1964,1389,1386,1259,356,55,1964,1389,2135,2681,1259,356,55,1386,1964,1389,1386,55,1259,2681,2672,1389,1386,55,356,2681,1389,1912,1739,1386,55,NA,66
11,2152,1846,2457,1194,2608,2540,1057,2207,1318,2228,1658,1923,1144,2529,2486,NA,NA,NA,NA,NA,1658,1923,1144,1194,2486,2152,1846,2457,1318,2228,1658,1923,1144,1194,2486,2152,1846,2457,1318,2228,1658,1923,1194,2486,1144,1846,1318,2228,1658,1923,1194,2486,2152,1846,1318,2228,2540,1057,2529,2608,1923,1194,2486,1846,1318,2228,1923,1194,2486,1846,1318,2228,1658,1923,2228,1318,1144,1846,1194,2486,1658,1923,1194,2152,1846,2228,1846,1923,1658,2152,2457,2575,2571,1923,1658,NA,66
12,1464,1293,2404,2370,1248,962,1215,1859,1150,981,1858,543,1016,44,736,NA,NA,NA,NA,NA,1215,1293,1464,2370,1248,1858,1859,2404,962,1150,1215,1293,1464,2370,1248,1858,1859,2404,962,1150,1464,1293,962,2370,1858,1859,1150,1248,1215,543,981,1248,1859,1016,736,2370,1293,1858,1150,44,543,981,1248,1215,736,44,543,981,1248,1215,736,44,1859,1293,981,1248,1464,962,736,2370,1859,1293,1248,1464,962,1150,1464,1859,1016,962,2404,1268,1095,1859,1464,NA,66
13,1564,558,1147,1276,308,17,547,2598,1881,538,1270,1313,395,1133,883,NA,NA,NA,NA,NA,1564,558,1270,2598,1276,1147,1313,395,1881,883,1564,558,1270,2598,1276,1147,1313,395,1881,883,1270,558,1147,1276,1564,1313,1881,883,547,1147,1133,883,1313,2598,1276,308,558,17,1881,538,1313,1133,883,547,1881,308,1313,1133,883,547,1881,308,1270,558,1276,308,1564,1313,1881,883,1270,558,1276,1564,1313,883,558,1313,1564,1270,1147,849,2259,1270,1276,NA,66
14,1804,1485,1471,1722,582,781,1948,1803,1326,1079,1868,1926,1812,260,1825,NA,NA,NA,NA,NA,1804,1485,1471,781,1722,1812,1948,1803,1326,582,1804,1485,1471,1948,1722,1812,781,1803,1326,582,1804,1948,1803,1722,1471,1485,582,1326,1948,1485,1722,1326,1868,1926,582,1825,1812,781,1079,260,1485,1722,1326,1948,582,1825,1485,1722,1326,1948,1079,1825,1471,1485,1722,1079,1804,1948,1326,1825,1804,1485,1722,1948,1471,1326,1804,1471,1948,1485,1803,1413,741,1804,1485,NA,66
