Game.Id,Period,Time,Scorer,Assist.1,Assist.2,TeamId,Note,season,SQ
0,1,520,1370,929,1014,21,PP,66,NA
0,1,818,64,NA,NA,9,PP,66,NA
0,1,1102,929,2166,1014,21,ES,66,NA
0,2,92,1882,76,NA,21,ES,66,NA
0,2,277,1435,64,323,9,PP,66,NA
0,2,1050,801,1370,NA,21,PP,66,NA
0,2,1111,1370,1882,801,21,ES,66,NA
1,1,1165,91,1394,1500,5,ES,66,NA
1,2,46,2404,44,1215,12,ES,66,NA
1,2,456,2652,1456,1500,5,ES,66,NA
1,2,810,554,2768,1201,5,ES,66,NA
1,3,130,1215,1248,1293,12,ES,66,NA
1,3,730,1215,543,2370,12,SH,66,NA
1,3,828,1835,554,1956,5,ES,66,NA
1,3,1188,1394,1201,1223,5,"ES, ENG",66,NA
2,1,759,1286,1049,1518,19,ES,66,NA
2,2,681,1939,2672,2681,10,SH,66,NA
2,3,171,1386,356,1389,10,PP,66,NA
2,3,264,1295,934,1367,19,ES,66,NA
2,3,273,1367,1261,NA,19,ES,66,NA
2,3,418,1506,1428,2433,19,ES,66,NA
2,3,786,1246,1506,NA,19,ES,66,NA
2,3,846,1506,2433,1428,19,ES,66,NA
3,1,18,1804,1471,1485,14,ES,66,NA
3,1,26,1270,558,NA,13,ES,66,NA
3,1,640,1313,1276,1881,13,ES,66,NA
3,1,655,1270,1881,1313,13,ES,66,NA
3,2,66,781,1926,1326,14,ES,66,NA
3,2,577,1485,1812,582,14,ES,66,NA
3,2,603,1270,1564,1276,13,ES,66,NA
3,2,795,547,2598,1133,13,ES,66,NA
3,2,909,1812,1948,260,14,ES,66,NA
3,2,1101,558,1270,1276,13,ES,66,NA
3,2,1151,1485,1825,1471,14,ES,66,NA
3,2,1184,2598,1276,17,13,ES,66,NA
3,3,1150,395,1564,NA,13,"ES, ENG",66,NA
4,1,678,2220,780,1300,3,PP,66,NA
4,2,224,1269,157,1917,1,ES,66,NA
4,2,556,933,583,NA,1,ES,66,NA
4,3,61,2220,1945,780,3,ES,66,NA
5,1,647,1436,2154,20,0,ES,66,NA
5,1,737,1706,2294,500,15,ES,66,NA
5,1,792,536,1436,20,0,ES,66,NA
5,1,851,1436,150,2161,0,ES,66,NA
5,2,220,1867,299,545,0,ES,66,NA
5,2,614,1170,299,1837,0,PP,66,NA
5,2,846,2161,1436,20,0,ES,66,NA
5,3,35,545,1676,2154,0,ES,66,NA
5,3,466,150,1170,1968,0,ES,66,NA
5,3,692,1368,2548,2679,15,ES,66,NA
5,3,814,150,536,2154,0,ES,66,NA
6,1,477,1808,1323,2427,8,ES,66,NA
6,1,709,2470,2754,1087,20,ES,66,NA
6,2,450,2547,645,2188,20,ES,66,NA
6,2,478,687,2474,2718,20,ES,66,NA
6,3,239,2554,NA,NA,20,ES,66,NA
6,3,961,2718,2754,737,20,ES,66,NA
6,3,1056,687,2554,2474,20,ES,66,NA
7,1,191,179,2494,1353,2,ES,66,NA
7,1,325,2220,1113,1578,3,ES,66,NA
7,2,308,1113,2220,481,3,ES,66,NA
7,2,531,1578,2220,1945,3,ES,66,NA
7,2,1079,1353,NA,NA,2,ES,66,NA
7,2,1120,1196,NA,NA,2,ES,66,NA
7,3,709,1196,NA,NA,2,ES,66,NA
7,3,921,539,179,2494,2,ES,66,NA
8,1,556,1521,1847,692,7,ES,66,NA
8,1,775,1804,1948,260,14,ES,66,NA
8,2,1053,255,1282,1872,7,ES,66,NA
8,2,1145,692,1282,889,7,ES,66,NA
8,3,251,1485,1804,1471,14,ES,66,NA
8,3,917,1079,1804,781,14,ES,66,NA
8,3,1083,1872,889,1282,7,ES,66,NA
9,1,158,1270,558,17,13,ES,66,NA
9,1,589,883,1564,1147,13,PP,66,NA
9,1,608,1313,395,17,13,ES,66,NA
9,1,837,2540,1658,2486,11,ES,66,NA
9,1,970,1923,2529,2152,11,ES,66,NA
9,1,1125,395,1313,NA,13,ES,66,NA
9,1,1146,2207,1057,2228,11,ES,66,NA
9,2,94,558,1270,1276,13,ES,66,NA
9,2,937,2529,1658,NA,11,PP,66,NA
9,2,1149,1564,308,1313,13,PP,66,NA
9,3,742,1313,1564,1276,13,ES,66,NA
9,3,1122,1846,1144,2486,11,SH,66,NA
9,3,1157,558,1270,883,13,"PP, ENG",66,NA
10,1,68,2536,1082,1466,1,ES,66,NA
10,1,422,933,583,768,1,ES,66,NA
10,2,270,1969,1269,2536,1,SH,66,NA
10,2,323,1862,NA,NA,8,SH,66,NA
10,2,436,1082,933,2463,1,ES,66,NA
10,2,992,1398,917,2629,8,ES,66,NA
10,3,519,1269,768,157,1,PP,66,NA
10,3,582,583,768,933,1,ES,66,NA
10,3,785,2668,2536,1082,1,ES,66,NA
11,1,842,1706,872,500,15,SH,66,NA
11,1,875,726,1172,1890,18,PP,66,NA
11,2,1147,1368,2548,2195,15,ES,66,NA
11,3,206,2640,872,1895,15,ES,66,NA
11,3,244,1890,2564,1172,18,ES,66,NA
11,3,355,1751,1775,1970,18,ES,66,NA
11,3,422,2455,1831,806,18,ES,66,NA
