id,league,season,name,team,position,blocker,glove,passing,pokeCheck,positioning,rebound,recovery,puckhandling,lowShots,reflexes,skating,aggression,mentalToughness,determination,teamPlayer,leadership,goalieStamina,professionalism,appliedTPE,pos
0,0,53,Tobias Lindeman,TBB,G,10,10,12,7,13,10,11,9,11,12,10,8,12,15,15,15,13,15,220,Goalie
1,0,53,Cedric Robinson,BUF,G,15,15,9,9,17,15,15,8,15,17,8,8,17,15,15,15,15,15,728,Goalie
33,0,53,Tibuk Soonika,CHI,G,17,17,11,12,20,18,17,10,16,20,15,8,15,15,15,15,17,15,1326,Goalie
35,0,53,Billy Sorokin,CHI,G,14,14,7,7,17,14,14,7,14,17,7,8,14,15,15,15,7,15,516,Goalie
66,0,53,Elle Rush,HAM,G,10,10,8,8,11,8,10,8,10,10,8,8,8,15,15,15,10,15,106,Goalie
67,0,53,Geezus Kryyst,HAM,G,20,17,12,15,20,18,17,12,18,19,14,8,15,15,15,15,18,15,1555,Goalie
99,0,53,Harry Carpet,TOR,G,16,17,14,14,18,18,17,14,17,18,14,8,18,15,15,15,17,15,1331,Goalie
101,0,53,Eddy Ask Jr.,TOR,G,14,14,8,13,15,13,13,10,14,15,9,8,14,15,15,15,15,15,491,Goalie
132,0,53,Peter Larson,MAN,G,17,17,14,13,19,17,18,14,17,18,13,8,18,15,15,15,17,15,1366,Goalie
133,0,53,Scottey Crawfling,MAN,G,16,16,13,12,16,16,15,12,16,16,12,8,14,15,15,15,14,15,782,Goalie
165,0,53,Johannes Leitner,NEW,G,15,16,12,12,18,15,17,15,17,18,12,8,16,15,15,15,15,15,1022,Goalie
199,0,53,Benjamin Blue,TBB,G,15,16,15,15,20,15,15,15,15,20,16,8,15,15,15,15,17,15,1246,Goalie
231,0,53,Beaujeaux Biscuit,WKP,G,13,15,15,8,15,15,15,12,15,13,15,8,13,15,15,15,15,15,620,Goalie
232,0,53,Luca Del Vecchio,WKP,G,15,16,10,13,17,17,15,11,15,16,12,8,14,15,15,15,16,15,801,Goalie
264,0,53,Kata Vilde,CGY,G,17,18,15,14,19,17,19,14,18,20,14,8,19,15,15,15,18,15,1691,Goalie
297,0,53,Emiko Spector,EDM,G,16,16,15,14,15,15,17,14,16,17,16,8,15,15,15,15,15,15,976,Goalie
298,0,53,Tommy Tuck,EDM,G,18,18,8,12,17,16,15,9,18,16,9,8,12,15,15,15,12,15,892,Goalie
330,0,53,Sebastien Primeau,NOL,G,16,16,8,8,17,12,12,8,16,16,8,8,16,15,15,15,12,15,635,Goalie
331,0,53,Markus Tegernako,MIN,G,15,15,12,12,16,16,17,12,16,17,13,8,16,15,15,15,16,15,887,Goalie
363,0,53,Vivian Leblanc,WPG,G,14,14,11,11,18,13,15,13,16,18,12,8,16,15,15,15,15,15,816,Goalie
396,0,53,Patrice Nadeau,SFP,G,15,15,13,15,15,15,15,15,15,15,15,8,14,15,15,15,12,15,723,Goalie
