id,name,position,league,team,season,gamesPlayed,minutes,wins,losses,ot,shotsAgainst,saves,goalsAgainst,gaa,shutouts,savePct,gameRating,pos,pos_broad
0,Tobias Lindeman,G,0,TBB,53,11,530,2,4,1,434,396,38,4.29,1,0.912,69,Goalie,Goalie
1,Cedric Robinson,G,0,BUF,53,43,2422,28,13,1,1127,1041,86,2.13,5,0.924,73,Goalie,Goalie
33,Tibuk Soonika,G,0,CHI,53,44,2641,21,21,2,1298,1172,126,2.86,4,0.903,70,Goalie,Goalie
35,Billy Sorokin,G,0,CHI,53,7,362,3,3,0,216,199,17,2.81,2,0.921,73,Goalie,Goalie
66,Elle Rush,G,0,HAM,53,6,360,5,1,0,103,94,9,1.50,2,0.913,65,Goalie,Goalie
67,Geezus Kryyst,G,0,HAM,53,44,2672,35,6,3,1103,1009,94,2.11,5,0.915,72,Goalie,Goalie
99,Harry Carpet,G,0,TOR,53,46,2341,5,34,3,2021,1832,189,4.84,1,0.906,73,Goalie,Goalie
101,Eddy Ask Jr.,G,0,TOR,53,20,668,1,7,0,579,517,62,5.57,0,0.893,60,Goalie,Goalie
132,Peter Larson,G,0,MAN,53,46,2674,21,20,3,1242,1128,114,2.56,4,0.908,67,Goalie,Goalie
133,Scottey Crawfling,G,0,MAN,53,6,341,4,2,0,111,93,18,3.16,1,0.838,48,Goalie,Goalie
165,Johannes Leitner,G,0,NEW,53,40,2415,32,7,1,975,901,74,1.84,7,0.924,74,Goalie,Goalie
199,Benjamin Blue,G,0,TBB,53,44,2490,8,34,1,1686,1532,154,3.71,0,0.909,72,Goalie,Goalie
231,Beaujeaux Biscuit,G,0,WKP,53,13,705,4,4,2,359,325,34,2.89,1,0.905,64,Goalie,Goalie
232,Luca Del Vecchio,G,0,WKP,53,41,2338,17,18,5,1500,1382,118,3.03,3,0.921,77,Goalie,Goalie
264,Kata Vilde,G,0,CGY,53,44,2568,27,14,2,1156,1042,114,2.66,4,0.901,66,Goalie,Goalie
297,Emiko Spector,G,0,EDM,53,21,1271,13,6,2,550,506,44,2.08,2,0.920,70,Goalie,Goalie
298,Tommy Tuck,G,0,EDM,53,29,1754,19,7,3,761,685,76,2.60,2,0.900,66,Goalie,Goalie
330,Sebastien Primeau,G,0,NOL,53,9,542,4,4,1,309,283,26,2.88,1,0.916,75,Goalie,Goalie
331,Markus Tegernako,G,0,MIN,53,44,2533,11,29,4,1677,1534,143,3.39,1,0.915,73,Goalie,Goalie
363,Vivian Leblanc,G,0,WPG,53,43,2466,18,23,2,1510,1386,124,3.02,3,0.918,72,Goalie,Goalie
396,Patrice Nadeau,G,0,SFP,53,41,2424,22,16,2,1216,1111,105,2.60,3,0.914,72,Goalie,Goalie
429,Knox Booth,G,0,LAP,53,44,2653,32,8,4,1041,936,105,2.37,4,0.899,63,Goalie,Goalie
430,Nolan McMahon,G,0,LAP,53,7,362,3,3,0,120,106,14,2.32,0,0.883,56,Goalie,Goalie
463,Aleister Cain,G,0,NOL,53,42,2497,25,13,3,1235,1140,95,2.28,5,0.923,75,Goalie,Goalie
495,Patrick Niederreiter,G,0,TEX,53,15,672,2,8,0,439,400,39,3.48,0,0.911,67,Goalie,Goalie
497,White Goodman,G,0,TEX,53,41,2328,7,33,0,1609,1458,151,3.89,1,0.906,71,Goalie,Goalie
