id,league,season,name,team,screening,gettingOpen,passing,puckhandling,shootingAccuracy,shootingRange,offensiveRead,checking,hitting,positioning,stickchecking,shotBlocking,faceoffs,defensiveRead,acceleration,agility,balance,speed,stamina,strength,fighting,aggression,bravery,determination,teamPlayer,leadership,temperament,professionalism,position,appliedTPE,pos,pos_broad
4,0,53,Eric Vanderberg,WPG,5,10,17,17,12,10,15,14,8,10,13,13,5,17,15,15,15,15,15,10,5,5,9,15,15,15,15,15,RD,623,Defense,Defense
6,0,53,Poopity Scoop,BUF,5,15,16,17,12,15,15,18,17,17,17,17,5,19,18,15,18,15,18,15,5,10,15,15,15,15,15,15,LD,1570,Defense,Defense
9,0,53,Tatu Makela,BUF,5,9,12,17,9,12,12,15,9,17,17,15,5,15,17,17,17,17,15,11,5,5,10,15,15,15,15,15,RD,882,Defense,Defense
10,0,53,Cassius Darrow,BUF,5,15,18,17,12,15,17,17,9,18,17,18,5,18,17,17,17,17,17,15,5,5,13,15,15,15,15,15,RD,1552,Defense,Defense
11,0,53,Satoshi Zizagooney,BUF,5,12,17,17,12,12,17,12,9,12,12,12,5,12,17,17,15,15,17,12,5,5,12,15,15,15,15,15,LD,770,Defense,Defense
15,0,53,Viktor Marius,BUF,12,18,13,18,18,12,19,15,12,12,9,9,9,15,19,17,16,18,16,12,5,5,12,15,15,15,15,15,RW,1315,Forward,Wing
16,0,53,Nicolaj Muller,BUF,12,17,13,17,17,12,17,12,9,12,13,9,9,12,17,17,17,17,15,12,5,5,12,15,15,15,15,15,LW,927,Forward,Wing
20,0,53,Bobby Sharp,BUF,12,12,18,17,12,12,18,17,9,12,17,12,17,18,17,17,17,17,16,12,5,5,12,15,15,15,15,15,C,1332,Forward,Center
21,0,53,Hippo Passamus,BUF,17,17,17,18,12,9,17,18,17,17,17,12,9,17,15,15,17,17,16,17,5,5,12,15,15,15,15,15,LW,1509,Forward,Wing
22,0,53,Michael Scarn,BUF,17,17,12,18,17,12,15,17,17,12,15,9,17,15,15,15,17,17,16,17,5,5,12,15,15,15,15,15,C,1313,Forward,Center
23,0,53,Monkey D. Luffy,BUF,16,18,14,18,19,9,19,15,9,13,13,12,9,13,18,17,17,18,15,15,5,5,13,15,15,15,15,15,LW,1406,Forward,Wing
24,0,53,Kristoffer Svensson,WPG,8,11,17,17,10,8,15,12,8,16,16,10,15,18,12,10,15,14,11,11,5,7,7,15,15,15,15,15,C,672,Forward,Center
29,0,53,Alexander Selich,BUF,13,17,17,17,18,12,20,14,9,13,17,12,12,17,18,18,17,18,16,13,5,5,12,15,15,15,15,15,RW,1549,Forward,Wing
40,0,53,Corey Kennedy,CHI,5,15,17,17,12,16,19,15,12,16,15,12,5,17,17,17,15,17,15,15,5,5,12,15,15,15,15,15,LD,1177,Defense,Defense
43,0,53,Jules Watt,CHI,5,12,14,15,10,13,13,17,13,15,16,16,5,16,15,15,15,15,14,15,5,8,13,15,15,15,15,15,LD,716,Defense,Defense
44,0,53,Parker Smeb,CHI,5,13,15,15,12,14,17,17,9,15,15,15,5,17,17,17,15,17,15,15,5,5,13,15,15,15,15,15,RD,971,Defense,Defense
47,0,53,Nick Connolly,CHI,13,14,15,16,14,7,14,15,14,16,16,5,5,17,15,16,16,15,13,17,5,5,12,15,15,15,15,15,LW,838,Forward,Wing
48,0,53,Lallo Selman,CHI,11,18,17,17,17,8,20,14,5,14,11,9,5,17,17,17,15,17,15,15,5,5,11,15,15,15,15,15,RW,1245,Forward,Wing
50,0,53,Kit Smeb,CHI,12,15,15,15,15,9,16,13,8,14,13,5,5,15,15,15,15,15,14,11,5,5,12,15,15,15,15,15,RW,552,Forward,Wing
54,0,53,Martijn  Westbroek,CHI,11,16,15,16,15,9,17,15,9,15,15,10,13,17,17,16,16,18,15,15,5,5,12,15,15,15,15,15,C,1013,Forward,Center
55,0,53,Daniel Smeb,CHI,11,19,15,17,19,11,18,15,9,13,14,5,13,15,17,17,17,18,15,15,5,5,13,15,15,15,15,15,C,1320,Forward,Center
60,0,53,Jack Kennedy,CHI,11,15,16,15,16,9,17,13,7,14,16,6,5,17,17,16,15,17,15,13,5,5,12,15,15,15,15,15,LW,888,Forward,Wing
61,0,53,Herb Robert,CHI,13,15,15,15,15,8,15,17,15,15,15,6,5,17,15,15,16,16,15,12,5,5,12,15,15,15,15,15,RW,808,Forward,Wing
62,0,53,Cameron Carter II,CHI,18,17,14,16,15,11,15,15,17,14,15,11,5,16,15,14,17,17,15,16,5,5,10,15,15,15,15,15,LW,1060,Forward,Wing
70,0,53,Tig Murphy,HAM,5,17,18,18,8,13,17,17,13,17,17,12,5,18,15,12,18,15,16,18,5,5,11,15,15,15,15,15,LD,1364,Defense,Defense
71,0,53,Akashi SixNine,HAM,6,14,16,16,7,13,15,16,12,15,15,12,5,17,13,10,16,14,15,16,5,5,9,15,15,15,15,15,LD,705,Defense,Defense
74,0,53,Jax Duggan,HAM,5,14,16,17,8,12,15,17,14,15,15,12,5,16,14,11,17,10,15,18,5,5,9,15,15,15,15,15,RD,837,Defense,Defense
