id,name,position,league,team,season,gamesPlayed,timeOnIce,goals,assists,points,plusMinus,pim,ppGoals,ppAssists,ppPoints,ppTimeOnIce,shGoals,shAssists,shPoints,shTimeOnIce,gwg,faceoffs,faceoffWins,fights,fightWins,fightLosses,hits,giveaways,takeaways,shotsBlocked,shotsOnGoal,gameRating,offensiveGameRating,defensiveGameRating,advancedStats_PDO,advancedStats_GF60,advancedStats_GA60,advancedStats_SF60,advancedStats_SA60,advancedStats_CF,advancedStats_CA,advancedStats_CFPct,advancedStats_CFPctRel,advancedStats_FF,advancedStats_FA,advancedStats_FFPct,advancedStats_FFPctRel,pos,pos_broad
4,Eric Vanderberg,RD,0,WPG,53,50,63402,8,11,19,7,34,1,1,2,3729,0,0,0,7392,NA,NA,NA,0,0,0,33,19,19,111,67,63,57,68,104.9,2.9,2.3,24.9,34.8,665,921,41.9,0.9,498,686,42.1,1.3,Defense,Defense
6,Poopity Scoop,LD,0,BUF,53,50,73580,16,41,57,44,30,5,10,15,10658,0,0,0,5961,NA,NA,NA,0,0,0,134,25,35,57,195,73,60,81,102.6,4.7,2,41.2,22.1,1140,639,64.1,9,866,454,65.6,10.1,Defense,Defense
9,Tatu Makela,RD,0,BUF,53,50,59613,5,14,19,23,20,0,0,0,297,0,0,0,3620,NA,NA,NA,0,0,0,50,12,25,98,72,60,55,63,103,3.4,1.9,35.2,28.6,990,830,54.4,-6.2,754,610,55.3,-6.2,Defense,Defense
10,Cassius Darrow,RD,0,BUF,53,50,72160,9,27,36,41,6,5,11,16,10475,0,0,0,6339,NA,NA,NA,0,0,0,32,19,34,125,149,69,60,75,102.1,4.7,2,41.6,22.1,1111,626,64,8.7,847,442,65.7,10.1,Defense,Defense
11,Satoshi Zizagooney,LD,0,BUF,53,50,63497,4,15,19,22,39,0,1,1,3421,1,1,2,3539,NA,NA,NA,1,0,1,52,46,11,45,104,62,59,64,102.5,3.4,2,35.8,28.4,1022,843,54.8,-5.7,773,619,55.5,-5.9,Defense,Defense
15,Viktor Marius,RW,0,BUF,53,50,61193,21,29,50,30,27,1,2,3,3525,0,0,0,820,NA,NA,NA,1,0,1,62,27,6,28,175,64,69,58,101.1,4,2,40,22.1,1134,669,62.9,7.2,850,493,63.3,6.5,Forward,Wing
16,Nicolaj Muller,LW,0,BUF,53,50,51126,26,17,43,18,20,0,3,3,3248,0,0,0,918,NA,NA,NA,0,0,0,57,29,5,55,152,62,65,58,103.7,3.6,2.1,33.7,29.7,820,717,53.4,-7.2,603,512,54.1,-7.3,Forward,Wing
20,Bobby Sharp,C,0,BUF,53,50,64317,17,32,49,27,26,2,2,4,3871,0,0,0,3620,NA,NA,NA,0,0,0,38,13,24,44,147,69,70,64,100.1,4,2.2,40.8,22.2,1155,671,63.3,7.8,870,492,63.9,7.5,Forward,Center
21,Hippo Passamus,LW,0,BUF,53,50,65371,23,33,56,25,14,4,2,6,3825,0,0,0,3914,NA,NA,NA,0,0,0,117,28,22,32,185,70,79,57,100.1,3.9,2.2,39.7,22.5,1142,692,62.3,6.2,863,504,63.1,6.3,Forward,Wing
22,Michael Scarn,C,0,BUF,53,50,66263,19,34,53,11,30,7,18,25,10192,0,0,0,5364,NA,NA,NA,0,0,0,157,24,8,12,165,71,74,63,99.5,3.1,2.3,37.8,26.4,979,699,58.3,0,732,506,59.1,-0.1,Forward,Center
23,Monkey D. Luffy,LW,0,BUF,53,50,59445,21,30,51,13,20,8,14,22,9855,0,0,0,63,NA,NA,NA,0,0,0,31,28,17,46,197,67,71,60,99.8,3.2,2.3,37.7,25.9,961,675,58.7,0.6,716,484,59.7,0.7,Forward,Wing
24,Kristoffer Svensson,C,0,WPG,53,50,42587,7,5,12,-15,8,0,0,0,0,1,0,1,4118,NA,NA,NA,0,0,0,16,11,20,11,48,56,56,54,99,1.6,3.3,21.4,38.9,412,758,35.2,-8.2,301,568,34.6,-8.7,Forward,Center
29,Alexander Selich,RW,0,BUF,53,50,65488,20,26,46,12,36,11,10,21,10177,0,0,0,5712,NA,NA,NA,2,0,2,32,21,27,68,182,69,69,67,99.6,3.2,2.3,38,26.3,962,682,58.5,0.3,723,492,59.5,0.5,Forward,Wing
