position,id,name,location,abbreviation,gp,wins,losses,OTL,points,winPercent,ROW,goalsFor,goalsAgainst,goalDiff,home_wins,home_losses,home_OTL,away_wins,away_losses,away_OTL,shootout_wins,shootout_losses,season
1,5,New England Wolfpack,New England,NEW,50,42,7,1,85,0.850,40,196,81,115,22,3,0,20,4,1,2,0,53
2,2,Hamilton Steelhawks,Hamilton,HAM,50,40,7,3,83,0.830,37,207,103,104,20,3,2,20,4,1,3,3,53
3,13,Los Angeles Panthers,Los Angeles,LAP,50,35,11,4,74,0.740,35,168,119,49,20,3,2,15,8,2,0,3,53
4,0,Buffalo Stampede,Buffalo,BUF,50,35,14,1,71,0.710,34,196,109,87,15,9,1,20,5,0,1,0,53
5,9,Edmonton Blizzard,Edmonton,EDM,50,32,13,5,69,0.690,31,172,121,51,19,6,0,13,7,5,1,3,53
6,8,Calgary Dragons,Calgary,CGY,50,31,14,5,67,0.670,30,189,134,55,19,5,1,12,9,4,1,4,53
7,14,New Orleans Specters,New Orleans,NOL,50,29,17,4,62,0.620,23,146,122,24,17,6,2,12,11,2,6,1,53
8,12,San Francisco Pride,San Francisco,SFP,50,27,20,3,57,0.570,26,155,132,23,15,9,1,12,11,2,1,1,53
9,4,Manhattan Rage,Manhattan,MAN,50,25,22,3,53,0.530,23,159,134,25,12,12,1,13,10,2,2,2,53
10,1,Chicago Syndicate,Chicago,CHI,50,24,24,2,50,0.500,23,134,148,-14,12,11,2,12,13,0,1,1,53
11,7,West Kendall Platoon,West Kendall,WKP,50,21,22,7,49,0.490,18,109,156,-47,9,14,2,12,8,5,3,5,53
12,11,Winnipeg Jets,Winnipeg,WPG,50,22,25,3,47,0.470,22,132,148,-16,14,9,2,8,16,1,0,1,53
13,10,Minnesota Chiefs,Minnesota,MIN,50,12,33,5,29,0.290,10,90,183,-93,10,14,1,2,19,4,2,1,53
14,6,Tampa Bay Barracuda,Tampa Bay,TBB,50,10,38,2,22,0.220,6,98,197,-99,4,19,2,6,19,0,4,2,53
15,15,Texas Renegades,Texas,TEX,50,9,41,0,18,0.180,8,101,194,-93,8,17,0,1,24,0,1,0,53
16,3,Toronto North Stars,Toronto,TOR,50,6,41,3,15,0.150,5,84,255,-171,3,20,2,3,21,1,1,2,53
1,0,Buffalo Stampede,Buffalo,BUF,50,41,7,2,84,0.840,41,217,93,124,23,2,0,18,5,2,0,0,54
2,2,Hamilton Steelhawks,Hamilton,HAM,50,38,10,2,78,0.780,36,220,106,114,23,1,1,15,9,1,2,1,54
3,1,Chicago Syndicate,Chicago,CHI,50,35,13,2,72,0.720,35,226,107,119,19,6,0,16,7,2,0,0,54
4,13,Los Angeles Panthers,Los Angeles,LAP,50,33,17,0,66,0.660,31,160,114,46,18,7,0,15,10,0,2,0,54
5,14,New Orleans Specters,New Orleans,NOL,50,30,16,4,64,0.640,27,163,138,25,13,10,2,17,6,2,3,0,54
6,4,Manhattan Rage,Manhattan,MAN,50,29,17,4,62,0.620,28,162,126,36,17,7,1,12,10,3,1,4,54
7,9,Edmonton Blizzard,Edmonton,EDM,50,29,18,3,61,0.610,29,180,145,35,17,7,1,12,11,2,0,1,54
8,5,New England Wolfpack,New England,NEW,50,28,21,1,57,0.570,26,171,113,58,14,10,1,14,11,0,2,0,54
9,8,Calgary Dragons,Calgary,CGY,50,26,19,5,57,0.570,24,162,157,5,17,6,2,9,13,3,2,3,54
10,15,Texas Renegades,Texas,TEX,50,26,19,5,57,0.570,23,138,138,0,18,5,2,8,14,3,3,4,54
11,12,San Francisco Pride,San Francisco,SFP,50,27,22,1,55,0.550,24,162,165,-3,15,10,0,12,12,1,3,1,54
12,11,Winnipeg Jets,Winnipeg,WPG,50,19,29,2,40,0.400,18,138,166,-28,13,12,0,6,17,2,1,1,54
13,7,Baltimore Platoon,Baltimore,BAP,50,15,33,2,32,0.320,15,117,181,-64,8,16,1,7,17,1,0,2,54
14,10,Minnesota Chiefs,Minnesota,MIN,50,13,34,3,29,0.290,11,107,216,-109,9,13,3,4,21,0,2,2,54
15,3,Toronto North Stars,Toronto,TOR,50,11,37,2,24,0.240,11,101,195,-94,7,17,1,4,20,1,0,2,54
16,6,Tampa Bay Barracuda,Tampa Bay,TBB,50,0,50,0,0,0.000,0,45,309,-264,0,25,0,0,25,0,0,0,54
1,0,Buffalo Stampede,Buffalo,BUF,50,40,10,0,80,0.800,40,226,98,128,23,2,0,17,8,0,0,0,55
2,9,Edmonton Blizzard,Edmonton,EDM,50,39,9,2,80,0.800,39,232,119,113,22,2,1,17,7,1,0,1,55
3,4,Manhattan Rage,Manhattan,MAN,50,36,10,4,76,0.760,30,171,117,54,20,5,0,16,5,4,6,2,55
4,14,New Orleans Specters,New Orleans,NOL,50,34,11,5,73,0.730,32,202,120,82,18,6,1,16,5,4,2,2,55
5,2,Hamilton Steelhawks,Hamilton,HAM,50,33,14,3,69,0.690,33,198,107,91,17,6,2,16,8,1,0,2,55
6,8,Calgary Dragons,Calgary,CGY,50,31,13,6,68,0.680,28,168,120,48,17,5,3,14,8,3,3,4,55
7,1,Chicago Syndicate,Chicago,CHI,50,30,17,3,63,0.630,29,187,116,71,16,7,2,14,10,1,1,3,55
8,5,New England Wolfpack,New England,NEW,50,27,16,7,61,0.610,27,149,122,27,20,4,1,7,12,6,0,6,55
9,15,Texas Renegades,Texas,TEX,50,28,19,3,59,0.590,25,153,141,12,16,8,1,12,11,2,3,1,55
10,11,Winnipeg Jets,Winnipeg,WPG,50,23,24,3,49,0.490,21,149,168,-19,12,11,2,11,13,1,2,3,55
11,13,Los Angeles Panthers,Los Angeles,LAP,50,19,29,2,40,0.400,18,136,158,-22,11,13,1,8,16,1,1,2,55
12,12,San Francisco Pride,San Francisco,SFP,50,16,32,2,34,0.340,12,114,207,-93,7,16,2,9,16,0,4,1,55
13,7,Baltimore Platoon,Baltimore,BAP,50,14,32,4,32,0.320,10,101,178,-77,7,16,2,7,16,2,4,3,55
14,10,Minnesota Chiefs,Minnesota,MIN,50,12,38,0,24,0.240,9,92,191,-99,6,19,0,6,19,0,3,0,55
15,3,Toronto North Stars,Toronto,TOR,50,10,39,1,21,0.210,10,87,220,-133,5,19,1,5,20,0,0,1,55
16,6,Tampa Bay Barracuda,Tampa Bay,TBB,50,8,42,0,16,0.160,6,77,260,-183,6,19,0,2,23,0,2,0,55
1,2,Hamilton Steelhawks,Hamilton,HAM,50,40,4,6,86,0.860,37,228,91,137,21,0,4,19,4,2,3,4,56
2,8,Calgary Dragons,Calgary,CGY,50,38,8,4,80,0.800,36,190,85,105,18,5,2,20,3,2,2,2,56
3,1,Chicago Syndicate,Chicago,CHI,50,37,9,4,78,0.780,36,201,98,103,19,6,0,18,3,4,1,4,56
4,4,Manhattan Rage,Manhattan,MAN,50,35,14,1,71,0.710,34,195,115,80,13,12,0,22,2,1,1,0,56
5,0,Buffalo Stampede,Buffalo,BUF,50,34,16,0,68,0.680,34,187,112,75,16,9,0,18,7,0,0,0,56
6,15,Texas Renegades,Texas,TEX,50,34,16,0,68,0.680,31,178,128,50,17,8,0,17,8,0,3,0,56
7,9,Edmonton Blizzard,Edmonton,EDM,50,32,17,1,65,0.650,32,192,123,69,18,7,0,14,10,1,0,1,56
