id,name,position,league,team,season,gamesPlayed,minutes,wins,losses,ot,shotsAgainst,saves,goalsAgainst,gaa,shutouts,savePct,gameRating,rookie,pos,pos_broad
1,Sergei Potvinov,G,1,ANC,53,6,381,3,2,1,195,181,14,2.2,1,0.928,73,FALSE,Goalie,Goalie
34,Cillian Kavanagh,G,1,KEL,53,15,938,10,4,1,395,358,37,2.37,1,0.906,68,TRUE,Goalie,Goalie
167,Strom Chamberlain,G,1,ANA,53,12,781,5,6,1,369,330,39,3,1,0.894,65,FALSE,Goalie,Goalie
229,Samat Beibitzhanov,G,1,COL,53,4,240,0,4,0,152,138,14,3.5,0,0.908,71,FALSE,Goalie,Goalie
231,A Jobin,G,1,DET,53,17,1030,12,3,2,415,378,37,2.15,3,0.911,69,FALSE,Goalie,Goalie
265,Elizabeth Doyle,G,1,STL,53,14,830,7,6,1,378,345,33,2.38,1,0.913,67,FALSE,Goalie,Goalie
299,Frans Eller,G,1,CAR,53,4,240,0,3,1,165,151,14,3.5,0,0.915,76,TRUE,Goalie,Goalie
363,Richard Majors,G,1,STL,53,1,39,0,0,0,19,19,0,0,0,0.999,79,FALSE,Goalie,Goalie
365,Cale Amundsen,G,1,NL,53,7,443,3,3,1,259,237,22,2.98,0,0.915,73,TRUE,Goalie,Goalie
398,Scoochie Stratton,G,1,ANC,53,1,60,0,1,0,33,29,4,4,0,0.879,54,FALSE,Goalie,Goalie
3,Peter Ramsey,G,1,KEL,54,1,27,0,0,0,13,12,1,2.16,0,0.923,57,FALSE,Goalie,Goalie
34,Cillian Kavanagh,G,1,KEL,54,12,718,5,5,2,339,310,29,2.42,2,0.914,71,FALSE,Goalie,Goalie
165,Separa Borro,G,1,ANA,54,4,244,2,2,0,146,134,12,2.94,0,0.918,76,FALSE,Goalie,Goalie
167,Strom Chamberlain,G,1,ANA,54,12,728,8,4,0,368,342,26,2.14,1,0.929,77,FALSE,Goalie,Goalie
199,Jerry Huuveri,G,1,COL,54,2,112,0,2,0,59,51,8,4.25,0,0.864,51,FALSE,Goalie,Goalie
202,Nicolae Antonescu,G,1,STL,54,7,372,3,3,1,220,196,24,3.86,0,0.891,61,TRUE,Goalie,Goalie
229,Samat Beibitzhanov,G,1,COL,54,5,184,1,2,0,101,90,11,3.58,0,0.891,58,FALSE,Goalie,Goalie
231,A Jobin,G,1,DET,54,7,414,3,3,1,225,202,23,3.33,0,0.898,68,FALSE,Goalie,Goalie
