id,name,position,league,team,season,gamesPlayed,timeOnIce,goals,assists,points,plusMinus,pim,ppGoals,ppAssists,ppPoints,ppTimeOnIce,shGoals,shAssists,shPoints,shTimeOnIce,gwg,faceoffs,faceoffWins,fights,fightWins,fightLosses,hits,giveaways,takeaways,shotsBlocked,shotsOnGoal,gameRating,offensiveGameRating,defensiveGameRating,rookie,advancedStats_PDO,advancedStats_GF60,advancedStats_GA60,advancedStats_SF60,advancedStats_SA60,advancedStats_CF,advancedStats_CA,advancedStats_CFPct,advancedStats_CFPctRel,advancedStats_FF,advancedStats_FA,advancedStats_FFPct,advancedStats_FFPctRel,pos,pos_broad
6,Lando Norris,LD,1,ANC,53,7,9418,2,1,3,-1,6,0,0,0,286,1,0,1,556,NA,NA,NA,0,0,0,15,5,5,9,11,68,49,86,FALSE,97.3,0.8,1.7,24.3,27.3,134,114,54,15.4,97,85,53.3,14.6,Defense,Defense
7,Ulrik Bergstrom,RD,1,ANC,53,7,10423,1,3,4,-1,4,1,1,2,1471,0,1,1,522,NA,NA,NA,0,0,0,20,2,2,9,14,63,54,70,FALSE,97.4,0.9,1.7,24.3,27.8,133,112,54.3,15.7,96,85,53,14.2,Defense,Defense
17,Mitchell van der Heijden,C,1,ANC,53,7,9983,0,3,3,-1,0,0,1,1,1430,0,0,0,735,NA,NA,NA,0,0,0,23,7,2,6,15,82,70,85,FALSE,101.2,1.8,2.8,20.3,35,106,123,46.3,2.9,78,92,45.9,2.6,Forward,Center
19,Stan Hanson,RW,1,ANC,53,7,7667,1,2,3,-3,0,0,0,0,0,0,0,0,414,NA,NA,NA,0,0,0,29,2,3,9,10,58,58,55,FALSE,96,1.5,3,23.3,28.8,82,109,42.9,-2.1,62,79,44,-0.3,Forward,Wing
26,Chris de Siren,RW,1,ANC,53,7,8904,1,3,4,-2,2,0,2,2,1405,0,0,0,0,NA,NA,NA,0,0,0,12,3,2,9,23,59,63,52,FALSE,101.5,1.9,2.9,19.7,35,102,119,46.2,2.6,75,89,45.7,2.3,Forward,Wing
27,Santtu Rasanen,C,1,ANC,53,7,8291,2,2,4,-3,12,1,0,1,448,0,0,0,541,NA,NA,NA,0,0,0,7,3,4,8,13,69,63,71,FALSE,96,1.5,3,24.2,29.1,85,109,43.8,-0.8,64,80,44.4,0.4,Forward,Center
28,Ryan Cvitkovich,LW,1,ANC,53,7,8354,1,1,2,-2,2,0,0,0,448,0,0,0,168,NA,NA,NA,0,0,0,12,3,2,5,11,62,64,57,FALSE,100.6,1.9,2.8,21.4,34.4,108,118,47.8,5.2,80,88,47.6,5.3,Forward,Wing
29,Jay Reeves,RW,1,ANC,53,7,5054,0,2,2,0,12,0,0,0,5,0,0,0,692,NA,NA,NA,0,0,0,1,0,5,3,2,59,55,61,FALSE,98.7,1.7,2.5,19.8,25.6,48,64,42.9,-1.9,32,41,43.8,-0.4,Forward,Wing
329,Pojo Biscuit,LD,1,ANC,53,7,7265,1,0,1,-2,2,0,0,0,5,0,0,0,254,NA,NA,NA,0,0,0,8,3,1,6,7,58,44,72,FALSE,99.3,2.1,3.1,26.2,36,82,122,40.2,-6.1,63,88,41.7,-3.6,Defense,Defense
341,Matthew Sawful,RD,1,ANC,53,7,7646,1,1,2,-1,0,0,0,0,18,0,0,0,482,NA,NA,NA,0,0,0,9,1,2,7,9,54,50,57,TRUE,100.9,2.5,3,26.7,35.3,85,125,40.5,-5.7,66,88,42.9,-2,Defense,Defense
370,Alexei Petrikov,LD,1,ANC,53,7,8857,1,3,4,1,0,0,0,0,369,0,0,0,670,NA,NA,NA,0,0,0,2,2,3,9,11,64,60,66,TRUE,110.3,3.7,3.2,18.4,33.2,81,132,38,-9.4,55,98,35.9,-12.1,Defense,Defense
386,James Yzerman,C,1,ANC,53,7,3733,0,0,0,2,0,0,0,0,0,0,0,0,7,NA,NA,NA,0,0,0,2,1,3,4,5,53,53,52,TRUE,109.2,3.9,1.9,27.1,37.7,53,70,43.1,-1.6,37,55,40.2,-4.9,Forward,Center
