TeamId,ES L1 LW,ES L1 C,ES L1 RW,ES L1 LD,ES L1 RD,ES L2 LW,ES L2 C,ES L2 RW,ES L2 LD,ES L2 RD,ES L3 LW,ES L3 C,ES L3 RW,ES L3 LD,ES L3 RD,ES L4 LW,ES L4 C,ES L4 RW,ES L4 LD,ES L4 RD,PP5on4 L1 LW,PP5on4 L1 C,PP5on4 L1 RW,PP5on4 L1 LD,PP5on4 L1 RD,PP5on4 L2 LW,PP5on4 L2 C,PP5on4 L2 RW,PP5on4 L2 LD,PP5on4 L2 RD,PP5on3 L1 LW,PP5on3 L1 C,PP5on3 L1 RW,PP5on3 L1 LD,PP5on3 L1 RD,PP5on3 L2 LW,PP5on3 L2 C,PP5on3 L2 RW,PP5on3 L2 LD,PP5on3 L2 RD,PP4on3 L1 F1,PP4on3 L1 F2,PP4on3 L1 LD,PP4on3 L1 RD,PP4on3 L2 F1,PP4on3 L2 F2,PP4on3 L2 LD,PP4on3 L2 RD,PK4on5 L1 F1,PK4on5 L1 F2,PK4on5 L1 LD,PK4on5 L1 RD,PK4on5 L2 F1,PK4on5 L2 F2,PK4on5 L2 LD...56,PK4on5 L2 LD...57,PK4on5 L3 F1,PK4on5 L3 F2,PK4on5 L3 LD...60,PK4on5 L3 LD...61,PK3on5 L1 F1,PK3on5 L1 LD,PK3on5 L1 RD,PK3on5 L2 F1,PK3on5 L2 LD...66,PK3on5 L2 LD...67,PK3on4 L1 F1,PK3on4 L1 LD,PK3on4 L1 RD,PK3on4 L2 F1,PK3on4 L2 LD...72,PK3on4 L2 LD...73,4on4 L1 F1,4on4 L1 F2,4on4 L1 LD,4on4 L1 RD,4on4 L2 F1,4on4 L2 F2,4on4 L2 LD...80,4on4 L2 LD...81,3on3 L1 F1,3on3 L1 LD,3on3 L1 RD,3on3 L2 F1,3on3 L2 LD...86,3on3 L2 LD...87,Shootout 1,Shootout 2,Shootout 3,Shootout 4,Shootout 5,Goalie 1,Goalie 2,Extra Attacker 1,Extra Attacker 2,...97,season
0,1462,1010,1009,1348,890,1629,1199,783,1164,1048,1178,1412,1460,996,1877,NA,NA,NA,NA,NA,1629,1199,783,1164,1048,1460,1010,1009,890,1348,1629,1199,783,1048,1164,1460,1010,1009,890,1348,1199,783,1010,1048,1629,1009,890,1348,1010,1462,890,1048,783,1009,1348,1877,1412,1178,996,1164,1010,890,1048,1462,996,1877,1010,890,1048,1462,996,1877,1010,1629,1048,890,1199,783,1348,1164,1010,1629,890,1199,783,1348,783,1629,1199,1009,1010,1156,697,783,1010,NA,66
1,1059,1090,1032,1322,1258,1676,1522,1159,1436,1075,1537,1406,1576,1263,1210,NA,NA,NA,NA,NA,1159,1090,1032,1059,1436,1522,1537,1406,1075,1322,1159,1090,1522,1075,1258,1676,1576,1032,1537,1263,1159,1090,1522,1075,1676,1032,1537,1258,1159,1059,1322,1258,1032,1406,1263,1210,1522,1090,1436,1075,1406,1322,1258,1059,1263,1075,1406,1322,1258,1059,1263,1075,1090,1059,1322,1075,1159,1406,1263,1258,1090,1059,1322,1159,1406,1075,1032,1090,1406,1676,1059,1235,1616,1406,1090,NA,66
2,1184,1435,1747,1027,1870,1302,1740,1305,1152,1741,828,1200,1111,1267,988,NA,NA,NA,NA,NA,1302,1740,1305,1027,1747,1184,1435,1111,1152,828,1302,1740,1305,1027,1747,1184,1435,1111,828,1152,1435,1305,1027,1111,1302,1740,1747,1152,1435,1747,1152,1741,1740,1305,1027,1870,1302,828,1267,988,1305,1152,1741,1740,1027,1870,1305,1152,1741,1740,1027,1870,1740,1305,1027,1741,1435,1747,1152,1870,1740,1305,1027,1435,1747,1152,1747,1305,1302,1184,1740,1163,1667,1305,1747,NA,66
3,1005,1162,1035,1055,1039,1093,1346,1352,1388,1876,1372,1504,1429,1821,1712,NA,NA,NA,NA,NA,1005,1162,1035,1876,1039,1093,1346,1352,1712,NA,1005,1162,1035,1039,1876,1093,1346,1352,1388,NA,1005,1162,1093,1039,1346,1035,1388,1876,1346,1162,1055,1039,1352,1005,1876,1712,1372,1429,NA,1388,1162,1055,1039,1346,1876,1712,1162,1055,1039,1504,1876,1712,1005,1162,1055,1039,1093,1352,1876,1712,1005,1162,1055,1093,1352,1039,1162,1005,1035,1039,1352,1730,1464,1162,1035,NA,66
4,1270,1100,872,1193,1014,1408,1171,1652,1387,1017,1482,1466,1217,1600,1601,NA,NA,NA,NA,NA,1270,1100,872,1652,1014,1482,1171,1408,1387,1193,1270,1100,872,1652,1387,1408,1171,1466,1193,1014,1100,872,1193,1014,1171,1270,1387,1652,1270,1171,1017,1014,1652,1100,1387,1193,1482,872,1600,1601,1171,1017,1014,1100,1193,1387,1171,1017,1014,1100,1387,1193,1100,1270,1387,1014,872,1171,1600,1193,1100,1270,1014,872,1171,1017,1652,1100,1270,1217,1408,1095,1862,1270,1100,NA,66
5,1002,1226,999,1054,1051,1232,1272,1483,1053,994,858,1871,856,1990,1336,NA,NA,NA,NA,NA,1002,1226,999,1483,1051,1232,1272,1871,1054,1336,1002,1226,999,1483,1051,1232,1272,1871,1054,1336,1226,999,1054,1051,1272,1002,1053,1336,999,856,1054,1053,1232,1002,1051,1990,1871,1272,994,1336,856,1054,1053,1232,994,1990,856,1054,1053,1002,994,1990,1226,999,1051,1054,1272,1002,1053,1336,1226,999,1051,1272,1002,1336,858,999,1002,1226,856,1345,1991,858,999,NA,66
6,1096,1157,1425,967,1045,879,1227,983,1532,1306,1140,1104,1869,1038,1067,NA,NA,NA,NA,NA,1096,1104,1425,1045,1227,1140,879,1869,1306,967,1096,1425,1869,879,1045,1140,1104,983,1227,1306,1096,1425,1157,1045,1104,879,1038,1306,1425,1157,967,1045,1104,1227,1038,1306,1096,879,1532,1067,1425,967,1045,1227,1157,1306,1425,1157,1045,1227,1532,1306,1096,1425,1306,1045,1104,879,1869,1157,1096,1425,1045,1104,879,1157,1096,1425,1869,1227,1104,1731,1780,879,1869,NA,66
7,863,1271,1197,1176,1367,1361,1717,1261,1008,1570,1479,1309,1554,1739,1083,NA,NA,NA,NA,NA,863,1271,1197,1176,1570,1361,1717,1261,1367,1008,863,1271,1197,1176,1570,1361,1717,1261,1367,1008,863,1271,1176,1570,1361,1717,1367,1008,1309,1197,1367,1570,1271,1261,1176,1008,1717,1554,1739,1083,1309,1367,1570,1197,1176,1008,1309,1367,1570,1197,1176,1008,1271,1197,1176,1367,863,1717,1008,1570,1271,1197,1367,863,1717,1176,863,1271,1717,1176,1361,1474,1475,863,1717,NA,66
8,1064,1028,1290,1145,993,1018,1143,1742,1320,1214,1875,1994,1542,1141,1744,NA,NA,NA,NA,NA,1064,1028,1290,1143,993,1018,1994,1742,1320,1141,1064,1028,1290,1143,993,1018,1994,1742,1320,1141,1143,1290,1064,993,1018,1742,1141,1320,1875,1742,1320,1744,1143,1290,1145,993,1018,1064,1141,1214,1742,1145,1744,1875,1320,1214,1742,1145,1744,1875,1320,1214,1143,1290,1145,993,1875,1064,1320,1744,1143,1290,993,1875,1064,1320,1018,1064,1290,1028,1143,1625,1615,1290,1064,NA,66
9,1148,1405,1255,1297,1239,1992,1745,1324,1325,1308,1840,1761,1664,1327,1394,NA,NA,NA,NA,NA,1148,1405,1255,1297,1239,1992,1745,1327,1325,1308,1148,1405,1255,1297,1239,1992,1745,1327,1325,1308,1148,1405,1297,1239,1992,1745,1325,1308,1664,1761,1327,1308,1992,1745,1297,1239,1148,1405,1325,1394,1761,1327,1308,1745,1297,1239,1761,1327,1308,1745,1297,1239,1148,1405,1297,1239,1992,1745,1325,1308,1148,1405,1297,1992,1745,1325,1405,1992,1148,1255,1327,1468,1873,1405,1297,NA,66
