Game.Id,Period,Time,Scorer,Assist.1,Assist.2,TeamId,Note,season,SQ
1138,1,82,1002,1226,856,5,ES,66,NA
1138,1,557,1226,1051,999,5,PP,66,NA
1138,2,344,1232,994,NA,5,ES,66,NA
1138,2,782,1226,1002,1483,5,PP,66,NA
1138,2,857,1046,1101,1154,15,ES,66,NA
1138,3,426,1101,1183,1154,15,ES,66,NA
1138,3,839,1002,1226,1336,5,ES,66,NA
1073,1,230,1200,1111,NA,2,ES,66,NA
1073,1,699,1117,NA,NA,17,ES,66,NA
1073,1,747,1111,1200,828,2,ES,66,NA
1073,2,438,1302,1200,1741,2,ES,66,NA
1073,2,641,1458,1338,1117,17,ES,66,NA
1073,2,736,1364,861,1253,17,ES,66,NA
1073,3,636,988,1747,1184,2,ES,66,NA
1080,1,48,1005,1352,1162,3,ES,66,NA
1080,1,320,1340,1310,1195,14,PP,66,NA
1080,2,662,1314,1298,1310,14,ES,66,NA
1080,3,227,1122,1301,1118,14,ES,66,NA
1080,3,613,1039,1352,1162,3,ES,66,NA
1080,3,779,1035,1093,1269,3,ES,66,NA
1080,OT1,151,1005,1269,1293,3,ES,66,NA
1081,1,665,1014,1466,NA,4,ES,66,NA
1081,2,849,1263,1105,1322,1,ES,66,NA
1081,3,20,1210,1263,1874,1,PP,66,NA
1157,1,168,1271,NA,NA,7,ES,66,NA
1157,1,186,863,1271,1197,7,ES,66,NA
1157,1,478,1309,1367,1197,7,ES,66,NA
1157,1,660,863,1271,1570,7,ES,66,NA
1157,1,1124,1309,1344,1176,7,ES,66,NA
1157,2,52,1176,1261,1361,7,PP,66,NA
1157,3,1200,1176,1309,1008,7,ES,66,NA
1083,1,105,1159,1537,1059,1,PP,66,NA
1083,1,488,983,1067,879,6,ES,66,NA
1083,2,24,1436,1028,1090,1,PP,66,NA
1083,2,660,1096,1045,1104,6,ES,66,NA
1083,2,1005,1869,1444,1140,6,ES,66,NA
1083,2,1187,1104,1157,1096,6,ES,66,NA
1083,3,102,983,1227,879,6,ES,66,NA
1083,3,805,1140,879,1045,6,PP,66,NA
1500,1,744,1298,1402,1589,14,PP,66,NA
1500,1,824,1476,1044,1189,15,ES,66,NA
1500,1,1112,1476,1044,1189,15,ES,66,NA
1500,2,149,1201,1298,1301,14,ES,66,NA
1500,2,500,1314,1118,1565,14,ES,66,NA
1500,2,745,1101,1154,1449,15,ES,66,NA
1500,2,1035,1476,1154,1449,15,ES,66,NA
1500,2,1158,1402,1201,1624,14,ES,66,NA
1500,3,272,1476,1044,1189,15,ES,66,NA
1076,1,231,1734,1678,1733,16,ES,66,NA
1076,1,856,1229,1084,1737,16,ES,66,NA
1076,2,244,1017,1100,1270,4,ES,66,NA
1076,2,748,1733,1737,1690,16,ES,66,NA
1076,2,1196,1611,1703,1737,16,ES,66,NA
1076,3,626,1611,1733,1703,16,PP,66,NA
1071,1,199,862,1126,1168,9,ES,66,NA
1071,1,904,1113,1255,1556,9,ES,66,NA
1071,1,1092,1226,856,1336,5,ES,66,NA
1071,2,42,1745,1297,1113,9,ES,66,NA
1071,2,428,1226,1483,NA,5,PP,66,NA
1071,3,54,1483,NA,NA,5,ES,66,NA
1071,3,201,1232,1483,1051,5,ES,66,NA
1071,3,900,1327,1405,NA,9,PP,66,NA
1071,OT1,293,999,1054,1051,5,PP,66,NA
1074,1,169,1876,1352,1162,3,PP,66,NA
1074,1,744,890,783,NA,0,ES,66,NA
1074,1,1181,1048,783,890,0,ES,66,NA
1074,2,829,1035,1093,1346,3,ES,66,NA
1074,2,970,1352,1269,1162,3,ES,66,NA
1074,2,1110,1199,1048,783,0,PP,66,NA
1074,3,514,1412,1048,1629,0,ES,66,NA
1074,3,947,1005,1162,1712,3,ES,66,NA
1074,3,1098,1199,1629,1348,0,PP,66,NA
1074,3,1157,1162,1293,1352,3,ES,66,NA
1078,1,681,1008,1271,1361,7,ES,66,NA
1078,2,478,1197,1271,1570,7,ES,66,NA
1078,3,642,1176,1309,1261,7,ES,66,NA
1084,1,182,1629,783,NA,0,PP,66,NA
1084,2,220,1018,1214,1145,8,ES,66,NA
1084,2,261,1629,1462,1199,0,ES,66,NA
1084,2,784,1063,1744,NA,8,ES,66,NA
1084,3,102,1875,1744,1406,8,ES,66,NA
1084,3,243,1412,1178,1009,0,ES,66,NA
1084,3,461,890,1178,1877,0,ES,66,NA
1118,1,215,1290,1143,1064,8,ES,66,NA
1118,1,525,1064,1143,1145,8,ES,66,NA
1118,2,508,994,1232,858,5,ES,66,NA
1118,3,180,1290,1875,1744,8,ES,66,NA
1118,3,529,993,1742,1290,8,PP,66,NA
1118,3,695,1742,993,NA,8,PP,66,NA
1118,3,953,1336,1272,1232,5,ES,66,NA
1090,OT1,215,1458,NA,NA,17,PP,66,NA
1075,2,148,1311,1463,1678,16,ES,66,NA
1075,2,211,1084,1733,1678,16,ES,66,NA
1075,2,992,1140,1869,1444,6,ES,66,NA
1075,3,1124,1869,1444,1157,6,ES,66,NA
1075,OT1,33,879,1104,1045,6,ES,66,NA
1530,1,1130,1877,1009,1493,0,ES,66,NA
1530,2,1047,1148,1405,NA,9,PP,66,NA
1530,3,534,1239,1327,1405,9,PP,66,NA
1205,1,147,1355,1066,833,15,ES,66,NA
1205,3,1198,1101,1154,1183,15,"ES, ENG",66,NA
1532,1,148,1232,1272,1483,5,ES,66,NA
1532,1,207,1270,872,1014,4,ES,66,NA
1532,1,382,1014,1466,872,4,ES,66,NA
1532,1,811,1871,856,858,5,ES,66,NA
1532,1,921,872,1100,1270,4,PP,66,NA
1532,1,1075,1270,1100,1014,4,PP,66,NA
1532,2,35,1430,1017,1217,4,ES,66,NA
1532,2,149,1336,NA,NA,5,ES,66,NA
1532,3,552,858,1053,994,5,ES,66,NA
1532,3,1116,1272,1053,1232,5,ES,66,NA
1532,OT1,67,1226,1053,1054,5,ES,66,NA
1072,1,811,1740,1305,1302,2,PP,66,NA
1072,1,888,1869,1140,1487,6,ES,66,NA
1072,2,225,1045,1096,1425,6,PP,66,NA
1072,2,1180,1302,1305,1027,2,PP,66,NA
1072,3,311,983,879,1869,6,ES,66,NA
1072,3,1198,1425,NA,NA,6,"ES, ENG",66,NA
1499,1,107,1063,1018,1742,8,ES,66,NA
1499,2,681,1309,1344,1008,7,ES,66,NA
1096,1,252,1346,1293,1055,3,SH,66,NA
1096,1,391,1035,1039,1346,3,ES,66,NA
1096,1,489,1293,1352,1162,3,ES,66,NA
1096,2,119,1005,1352,1055,3,ES,66,NA
1096,2,459,1352,1162,1293,3,ES,66,NA
1096,2,1020,1155,1265,1748,17,ES,66,NA
1096,2,1060,1876,1162,1039,3,PP,66,NA
1096,3,359,1748,1155,1253,17,ES,66,NA
1096,3,364,1005,1352,1162,3,ES,66,NA
1096,3,482,1039,1055,1005,3,ES,66,NA
1096,3,601,1352,1039,1005,3,PP,66,NA
1077,1,345,862,1316,1255,9,ES,66,NA
1077,1,1115,1255,1325,1405,9,ES,66,NA
1077,2,191,1737,1084,NA,16,ES,66,NA
1077,2,364,1264,1611,1737,16,ES,66,NA
1077,2,638,1733,1231,1703,16,PP,66,NA
1077,2,1074,1403,1737,1215,16,ES,66,NA
1077,3,300,1403,NA,NA,16,ES,66,NA
1077,3,985,1611,1311,1229,16,ES,66,NA
1087,1,140,1270,872,1430,4,ES,66,NA
1087,1,633,1009,783,NA,0,SH,66,NA
1087,1,777,872,NA,NA,4,ES,66,NA
