id,league,season,name,team,screening,gettingOpen,passing,puckhandling,shootingAccuracy,shootingRange,offensiveRead,checking,hitting,positioning,stickchecking,shotBlocking,faceoffs,defensiveRead,acceleration,agility,balance,speed,stamina,strength,fighting,aggression,bravery,determination,teamPlayer,leadership,temperament,professionalism,position,appliedTPE,pos,pos_broad
6,1,53,Lando Norris,ANC,5,9,11,12,11,11,10,12,10,12,12,11,5,12,9,11,11,11,11,11,5,5,10,15,15,15,15,15,LD,133,Defense,Defense
7,1,53,Ulrik Bergstrom,ANC,5,8,14,12,9,11,12,14,10,13,13,13,5,14,10,10,11,10,13,10,5,5,10,15,15,15,15,15,RD,217,Defense,Defense
10,1,53,Renji Atake,NL,10,10,10,10,9,9,10,10,10,10,10,10,5,12,9,10,11,10,10,11,10,6,6,15,15,15,15,15,RD,97,Defense,Defense
17,1,53,Mitchell van der Heijden,ANC,12,12,10,12,14,10,12,10,10,10,11,5,12,10,13,12,12,13,13,12,5,8,8,15,15,15,15,15,C,208,Forward,Center
19,1,53,Stan Hanson,ANC,12,5,10,10,6,5,10,15,15,10,12,9,5,10,9,10,15,10,10,14,5,10,13,15,15,15,15,15,RW,233,Forward,Wing
20,1,53,Cyril Vyskoc,ANC,5,9,15,12,6,5,13,10,5,11,10,5,14,11,12,13,10,13,13,5,5,5,5,15,15,15,15,15,C,179,Forward,Center
21,1,53,Ryan Cvitkovich,ANC,8,12,11,12,14,11,12,11,7,11,11,7,5,11,11,11,11,14,13,9,5,7,8,15,15,15,15,15,LW,175,Forward,Wing
23,1,53,Guy LeGrande,NL,9,9,11,9,11,7,11,9,5,9,11,6,11,11,11,11,12,11,13,11,5,5,7,15,15,15,15,15,C,106,Forward,Center
26,1,53,Chris de Siren,ANC,9,14,12,13,13,9,14,9,9,10,9,9,9,11,11,11,11,11,12,10,5,5,5,15,15,15,15,15,RW,172,Forward,Wing
27,1,53,Santtu Rasanen,ANC,10,10,12,12,11,9,13,11,7,12,10,7,12,12,11,12,11,11,12,11,5,5,10,15,15,15,15,15,C,159,Forward,Center
28,1,53,Danny White,ANC,9,10,10,12,11,9,12,10,8,12,11,9,5,12,10,10,10,10,11,7,5,5,10,15,15,15,15,15,LW,111,Forward,Wing
29,1,53,Jay Reeves,ANC,5,10,10,13,10,8,11,13,5,13,12,5,5,13,10,10,12,13,11,10,5,5,8,15,15,15,15,15,RW,144,Forward,Wing
31,1,53,Devin Basher,VAN,5,8,12,11,9,5,11,10,5,11,10,5,5,11,5,10,11,8,10,7,5,5,6,15,15,15,15,15,LW,60,Forward,Wing
37,1,53,Alex Ranch,KEL,5,5,10,10,5,5,5,12,12,9,5,5,5,12,10,10,10,10,12,10,5,5,10,15,15,15,15,15,RD,74,Defense,Defense
39,1,53,Luciano Vessot,KEL,5,10,13,13,12,12,14,10,10,13,10,10,5,13,12,12,11,12,12,12,5,5,10,15,15,15,15,15,RD,207,Defense,Defense
40,1,53,Adam Scianna,KEL,5,10,13,12,10,13,13,10,10,12,12,12,5,15,10,10,12,13,13,10,5,5,9,15,15,15,15,15,LD,213,Defense,Defense
41,1,53,Noah Nystrom,KEL,5,9,10,12,8,10,8,14,12,12,12,13,5,14,10,10,12,10,10,13,5,5,10,15,15,15,15,15,RD,183,Defense,Defense
44,1,53,Chet Hillier,ANA,5,6,10,13,5,5,10,10,7,10,11,6,5,10,14,12,10,12,7,5,5,5,5,15,15,15,15,15,RD,94,Defense,Defense
46,1,53,Gylfi Eriksson,KEL,12,12,10,12,12,7,10,14,14,10,9,9,5,12,10,10,12,12,12,12,10,10,12,15,15,15,15,15,LW,212,Forward,Wing
47,1,53,Kalevolaripaavo Kaspertom,KEL,12,13,10,13,14,8,14,10,9,11,10,9,5,12,13,11,11,13,11,11,5,7,12,15,15,15,15,15,RW,212,Forward,Wing
48,1,53,Theo Golury,KEL,9,13,10,12,12,8,13,10,10,8,9,9,5,12,13,13,12,12,10,10,5,5,12,15,15,15,15,15,LW,168,Forward,Wing
50,1,53,Andrey Barbashev II,KEL,10,13,10,12,14,11,13,10,9,13,9,5,5,9,14,12,12,14,13,10,5,5,9,15,15,15,15,15,RW,219,Forward,Wing
51,1,53,Rocco Berni,KEL,7,11,13,13,10,5,12,5,9,11,11,10,12,11,12,12,11,11,12,11,5,5,12,15,15,15,15,15,C,158,Forward,Center
52,1,53,Ethan Duncan,KEL,8,10,12,11,10,6,11,13,9,13,13,8,12,13,11,10,12,11,11,10,5,5,10,15,15,15,15,15,C,162,Forward,Center
54,1,53,Ebenezer Virtanen,KEL,5,7,11,9,9,11,10,11,9,11,9,10,5,13,11,11,11,11,10,9,6,5,9,15,15,15,15,15,LD,97,Defense,Defense
