id,name,position,league,team,season,gamesPlayed,timeOnIce,goals,assists,points,plusMinus,pim,ppGoals,ppAssists,ppPoints,ppTimeOnIce,shGoals,shAssists,shPoints,shTimeOnIce,gwg,faceoffs,faceoffWins,fights,fightWins,fightLosses,hits,giveaways,takeaways,shotsBlocked,shotsOnGoal,gameRating,offensiveGameRating,defensiveGameRating,advancedStats_PDO,advancedStats_GF60,advancedStats_GA60,advancedStats_SF60,advancedStats_SA60,advancedStats_CF,advancedStats_CA,advancedStats_CFPct,advancedStats_CFPctRel,advancedStats_FF,advancedStats_FA,advancedStats_FFPct,advancedStats_FFPctRel,pos,pos_broad
6,Lando Norris,LD,1,ANC,53,50,55051,6,8,14,10,11,0,0,0,814,1,0,1,6494,NA,NA,NA,1,0,1,55,14,23,40,74,60,51,68,99.6,2.6,2,30.2,21.4,796,560,58.7,2.4,582,400,59.3,2.6,Defense,Defense
7,Ulrik Bergstrom,RD,1,ANC,53,50,63820,2,19,21,11,35,0,9,9,10563,0,0,0,6279,NA,NA,NA,0,0,0,64,12,29,75,82,61,54,66,99.9,2.8,2,30.2,21.5,783,555,58.5,2.1,571,395,59.1,2.3,Defense,Defense
10,Renji Atake,RD,1,NL,53,50,40619,3,13,16,7,22,0,1,1,496,0,1,1,5574,NA,NA,NA,2,1,1,56,17,13,50,47,53,50,55,106,3,2.3,23.9,34.4,441,603,42.2,-3.8,312,464,40.2,-5.8,Defense,Defense
17,Mitchell van der Heijden,C,1,ANC,53,50,62510,26,26,52,12,24,9,16,25,10709,1,1,2,6778,NA,NA,NA,0,0,0,109,38,14,27,154,79,74,74,98.9,3.1,2.4,33.6,23.1,800,568,58.5,2.1,596,417,58.8,2,Forward,Center
19,Stan Hanson,RW,1,ANC,53,50,43051,5,6,11,9,22,2,2,4,1942,0,0,0,3794,NA,NA,NA,0,0,0,101,8,6,28,44,54,55,53,101.6,2.5,1.6,30.1,24.3,559,452,55.3,-2.3,431,339,56,-2,Forward,Wing
20,Cyril Vyskoc,C,1,ANC,53,50,45842,9,20,29,5,14,5,8,13,10209,0,0,0,584,NA,NA,NA,0,0,0,28,7,17,22,110,66,64,66,97.8,2.8,2.3,31.9,20.9,594,376,61.2,5.4,440,266,62.3,6.2,Forward,Center
21,Ryan Cvitkovich,LW,1,ANC,53,50,51931,11,19,30,11,18,1,3,4,3751,0,0,0,1781,NA,NA,NA,0,0,0,49,15,14,33,111,65,67,61,99.6,3,2.2,33.2,22.9,815,590,58,1.4,606,430,58.5,1.5,Forward,Wing
23,Guy LeGrande,C,1,NL,53,50,45560,8,10,18,1,16,1,0,1,1802,0,0,0,5644,NA,NA,NA,0,0,0,24,15,24,36,68,59,57,58,101.4,2.4,2.4,25.9,30.4,504,630,44.4,-1,370,453,45,0.3,Forward,Center
26,Chris de Siren,RW,1,ANC,53,50,51363,16,22,38,12,24,9,4,13,8535,0,0,0,0,NA,NA,NA,0,0,0,46,19,10,40,132,59,63,55,100,3.2,2.2,33.6,23,771,543,58.7,2.3,568,398,58.8,1.9,Forward,Wing
27,Santtu Rasanen,C,1,ANC,53,50,47380,6,20,26,10,18,1,4,5,4605,0,1,1,4019,NA,NA,NA,0,0,0,27,10,16,26,103,64,62,63,102,2.5,1.6,29.9,24.6,578,474,54.9,-2.8,443,357,55.4,-2.8,Forward,Center
28,Danny White,LW,1,ANC,53,50,43326,11,16,27,3,30,3,9,12,9554,0,0,0,66,NA,NA,NA,0,0,0,45,18,19,31,109,65,62,67,97,2.8,2.5,31.5,20.7,574,370,60.8,4.8,424,257,62.3,6.1,Forward,Wing
29,Jay Reeves,RW,1,ANC,53,50,42030,6,8,14,5,27,0,0,0,0,0,1,1,6847,NA,NA,NA,0,0,0,39,14,19,20,65,58,54,59,97,2.7,2.5,30.6,21,582,384,60.2,4.1,429,271,61.3,4.9,Forward,Wing
31,Devin Basher,LW,1,VAN,53,13,6012,0,0,0,-6,2,0,0,0,24,0,0,0,78,NA,NA,NA,0,0,0,2,3,1,6,4,51,51,50,92.5,0.6,4.3,14,35.9,45,124,26.6,-7.7,30,95,24,-9.1,Forward,Wing
37,Alex Ranch,RD,1,KEL,53,46,53416,6,9,15,10,22,1,0,1,471,0,0,0,4734,NA,NA,NA,0,0,0,66,13,10,18,56,56,52,59,101.4,2.5,1.8,29.7,24.9,718,654,52.3,-3.5,544,477,53.3,-2.5,Defense,Defense
39,Luciano Vessot,RD,1,KEL,53,47,62301,7,16,23,0,16,4,6,10,11650,0,0,0,3444,NA,NA,NA,0,0,0,69,10,20,37,144,67,65,66,98.6,2.6,2.4,31.5,25.2,806,601,57.3,4.3,595,446,57.2,3.8,Defense,Defense
40,Adam Scianna,LD,1,KEL,53,50,64024,5,17,22,2,12,2,4,6,6543,0,0,0,5071,NA,NA,NA,0,0,0,66,34,23,49,90,62,53,70,100.1,2.8,2.6,28.2,26.3,814,724,52.9,-2.8,600,534,52.9,-3.2,Defense,Defense
41,Noah Nystrom,RD,1,KEL,53,48,53542,1,14,15,4,19,0,2,2,1804,0,0,0,5713,NA,NA,NA,0,0,0,59,18,22,40,70,55,48,61,99.3,2.7,2.3,30.3,23.9,734,606,54.8,1.4,536,435,55.2,1.6,Defense,Defense
44,Chet Hillier,RD,1,ANA,53,42,44203,3,4,7,2,14,0,0,0,256,0,0,0,3330,NA,NA,NA,0,0,0,28,15,4,15,33,51,49,52,101.8,2.9,2.7,26.1,29.2,538,643,45.6,-8,399,478,45.5,-8.2,Defense,Defense
