Team,RankNow,RankFuture,RankNow,RankFuture,RankNow,RankFuture,RankNow,RankFuture,RankNow,RankFuture
BUF,5.7,7.4,5.2,5.7,6.5,4.3,6.1,4.8,6.5,1.3
CHI,9.1,3,8.7,2.2,4.8,1.7,3,1.3,0.9,3.9
HAM,6.5,9.8,8.3,7.8,8.7,6.1,8.7,5.7,7.4,3
TOR,0.9,8.3,3.5,9.6,4.3,9.6,4.8,9.1,7.8,7.4
MAN,7.8,3.9,5.7,0.9,3,0.2,0.2,0.2,0.2,0.4
NEW,8.7,8.7,9.1,8.3,9.1,7.4,9.6,6.5,8.7,4.3
TBB,3,0.4,0.9,0.4,0.2,5.2,0.9,6.1,3.5,8.7
BAP,3.9,2.2,1.3,3.9,1.3,3,2.2,5.2,3.9,4.8
CGY,1.7,4.3,2.2,6.1,3.5,8.3,3.9,8.7,5.2,9.6
EDM,9.8,3.5,9.8,1.7,9.8,0.4,9.8,0.4,3,0.2
MIN,4.3,7.8,4.8,6.5,8.3,5.7,9.1,4.3,9.6,2.2
WPG,1.3,2.6,2.6,3.5,1.7,3.5,1.3,7.8,2.2,9.1
SFP,0.2,0.2,0.4,0.2,0.4,1.3,0.4,0.9,0.4,5.2
LAP,0.4,0.9,0.2,4.3,0.9,7,3.5,7.4,4.3,7.8
NOLA,7,6.5,7.8,5.2,7.8,3.9,6.5,2.6,7,3.5
TEX,2.2,9.6,4.3,9.8,5.2,9.8,7,9.6,9.1,7
ATL,8.3,5.2,7,3,6.1,2.6,5.2,1.7,4.8,1.7
SEA,9.6,4.8,9.6,2.6,9.6,0.9,8.3,2.2,6.1,0.9
MTL,3.5,1.7,1.7,4.8,2.2,6.5,1.7,3.5,1.7,8.3
PHI,6.1,7,7.4,8.7,7.4,7.8,7.4,7,9.8,6.1
CIN,5.2,1.3,3.9,1.3,2.6,2.2,2.6,3,1.3,5.7
NSH,4.8,6.1,6.5,7.4,5.7,4.8,5.7,3.9,2.6,2.6
DEN,7.4,9.1,6.1,9.1,7,8.7,7.8,8.3,8.3,6.5
MAD,2.6,5.7,3,7,3.9,9.1,4.3,9.8,5.7,9.8
