S69: 45-16-5 (3rd in Eastern, 5th in League)
S70: 57-8-1 (1st in Eastern, 1st in League)
S71: 48-17-1 (3rd in Eastern, 4th in League)
S72: 43-16-7 (3rd in Eastern, 6th in League)
S73: 50-14-2 (2nd in Eastern, 2nd in League)
S74: 44-17-5 (2nd in Eastern, 3rd in League)
S75: 45-17-4 (1st in Eastern, 3rd in League)
S76: 41-23-2 (2nd in Eastern, 5th in League)
S77: 51-10-5 (1st in Eastern, 1st in League)
S78: 43-20-3 (2nd in Eastern, 5th in League)
S79: 42-21-3 (1st in Eastern, 4th in League)
S80: 38-25-3 (5th in Eastern, 9th in League)
S81: 41-20-5 (2nd in Eastern, 3rd in League)
S82: 34-29-3 (5th in Eastern, 9th in League)
S83: 44-16-6 (3rd in Eastern, 6th in League)
S84: 35-22-9 (4th in Eastern, 7th in League)
S85: 45-18-3 (4th in Eastern, 7th in League)
