Overall team records

ATL: 1331-709-122 (0.616%)
BAP: 2441-2069-374 (0.5%)
BUF: 2059-1392-261 (0.555%)
CGY: 2532-1965-387 (0.518%)
CHI: 1543-971-148 (0.58%)
CIN: 170-206-20 (0.429%)
DEN: 255-124-17 (0.644%)
EDM: 2621-1861-362 (0.541%)
HAM: 2588-1907-389 (0.53%)
LAP: 2394-1952-378 (0.507%)
MAD: 166-203-27 (0.419%)
MAN: 2072-2426-346 (0.428%)
MIN: 2000-2391-333 (0.423%)
MTL: 703-1115-96 (0.367%)
NEW: 2358-1783-329 (0.528%)
NOL: 1361-1129-172 (0.511%)
NSH: 199-181-16 (0.503%)
PHI: 1186-600-128 (0.62%)
SEA: 1127-904-131 (0.521%)
SFP: 1567-1880-265 (0.422%)
TBB: 2211-2250-423 (0.453%)
TEX: 2373-1778-319 (0.531%)
TOR: 2241-2249-394 (0.459%)
WPG: 2434-2054-396 (0.498%)


GM records

hotdog: 1331-709-122 (0.616%)
o1playz: 131-182-17 (0.397%)
vandy: 418-318-56 (0.528%)
boom: 508-615-65 (0.428%)
nike: 491-444-55 (0.496%)
seven: 170-206-20 (0.429%)
rashford: 255-124-17 (0.644%)
cake: 362-89-11 (0.784%)
aleks: 263-176-23 (0.569%)
wozy: 105-207-18 (0.318%)
hffo: 166-203-27 (0.419%)
skyhawk: 162-147-21 (0.491%)
uptowncord: 216-224-22 (0.468%)
gabeyd: 49-203-12 (0.186%)
luke: 1015-669-98 (0.57%)
jkort: 1361-1129-172 (0.511%)
ace: 199-181-16 (0.503%)
acslap: 1186-600-128 (0.62%)
efisch: 517-428-45 (0.522%)
gabe: 55-200-9 (0.208%)
mcz: 47-204-13 (0.178%)
capncoop: 755-621-76 (0.52%)
jaypc: 195-305-28 (0.369%)
bytor: 69-179-16 (0.261%)
