Overall team records

ATL: 1287-690-119 (0.614%)
BAP: 2411-2036-371 (0.5%)
BUF: 2012-1376-258 (0.552%)
CGY: 2499-1933-386 (0.519%)
CHI: 1521-932-143 (0.586%)
CIN: 152-162-16 (0.461%)
DEN: 204-110-16 (0.618%)
EDM: 2576-1842-360 (0.539%)
HAM: 2546-1885-387 (0.528%)
LAP: 2366-1918-374 (0.508%)
MAD: 135-172-23 (0.409%)
MAN: 2064-2372-342 (0.432%)
MIN: 1949-2376-333 (0.418%)
MTL: 693-1065-90 (0.375%)
NEW: 2313-1765-326 (0.525%)
NOL: 1330-1099-167 (0.512%)
NSH: 158-158-14 (0.479%)
PHI: 1147-577-124 (0.621%)
SEA: 1075-892-129 (0.513%)
SFP: 1554-1831-261 (0.426%)
TBB: 2199-2197-422 (0.456%)
TEX: 2334-1753-317 (0.53%)
TOR: 2200-2229-389 (0.457%)
WPG: 2415-2011-392 (0.501%)


GM records

hotdog: 1287-690-119 (0.614%)
o1playz: 101-149-14 (0.383%)
vandy: 371-302-53 (0.511%)
boom: 475-583-64 (0.423%)
nike: 469-405-50 (0.508%)
seven: 152-162-16 (0.461%)
rashford: 204-110-16 (0.618%)
cake: 317-70-9 (0.801%)
aleks: 221-154-21 (0.558%)
wozy: 77-173-14 (0.292%)
hffo: 135-172-23 (0.409%)
skyhawk: 154-93-17 (0.583%)
uptowncord: 165-209-22 (0.417%)
gabeyd: 39-153-6 (0.197%)
luke: 970-651-95 (0.565%)
jkort: 1330-1099-167 (0.512%)
ace: 158-158-14 (0.479%)
acslap: 1147-577-124 (0.621%)
efisch: 465-416-43 (0.503%)
gabe: 42-151-5 (0.212%)
mcz: 35-151-12 (0.177%)
capncoop: 716-596-74 (0.517%)
jaypc: 154-285-23 (0.333%)
bytor: 50-136-12 (0.253%)
