Overall team records

ANC: 2119-1886-319 (0.49%)
CAR: 2214-1766-342 (0.512%)
COL: 1849-1565-298 (0.498%)
DET: 2196-1795-333 (0.508%)
GFG: 777-973-98 (0.42%)
KEL: 2117-1869-338 (0.49%)
MET: 1909-1530-267 (0.515%)
NBB: 1141-941-130 (0.516%)
NL: 1551-1002-159 (0.572%)
OTT: 435-374-49 (0.507%)
QCC: 1343-751-118 (0.607%)
SDT: 390-413-55 (0.455%)
STL: 1937-2027-322 (0.452%)
TBW: 849-875-124 (0.459%)
VAN: 2178-1835-311 (0.504%)
YUM: 1286-1244-182 (0.474%)


GM records

bubba_tree: 117-71-10 (0.591%)
kahri: 224-211-27 (0.485%)
fishy: 232-269-27 (0.439%)
evilisback: 112-130-22 (0.424%)
jess: 30-96-6 (0.227%)
prayl07: 201-172-23 (0.508%)
wbf: 145-176-9 (0.439%)
colonelsaunders: 189-131-10 (0.573%)
ocho: 188-128-14 (0.57%)
le thrill: 102-83-13 (0.515%)
gwen: 151-43-4 (0.763%)
toaster: 64-57-11 (0.485%)
jimmy: 400-539-51 (0.404%)
yosh: 425-443-56 (0.46%)
seany: 429-442-53 (0.464%)
fluw: 794-756-100 (0.481%)
