Overall team records

ANC: 2067-1875-316 (0.485%)
CAR: 2191-1726-339 (0.515%)
COL: 1820-1531-295 (0.499%)
DET: 2156-1774-329 (0.506%)
GFG: 761-927-94 (0.427%)
KEL: 2089-1837-332 (0.491%)
MET: 1874-1501-265 (0.515%)
NBB: 1095-921-130 (0.51%)
NL: 1516-973-157 (0.573%)
OTT: 406-340-46 (0.513%)
QCC: 1289-741-116 (0.601%)
SDT: 363-379-50 (0.458%)
STL: 1921-1979-320 (0.455%)
TBW: 821-839-122 (0.461%)
VAN: 2146-1803-309 (0.504%)
YUM: 1248-1220-178 (0.472%)


GM records

bubba_tree: 65-60-7 (0.492%)
kahri: 201-171-24 (0.508%)
fishy: 203-235-24 (0.439%)
evilisback: 72-109-17 (0.364%)
jess (need to finish record of previous GM): 14-50-2 (0.212%)
prayl07: 173-140-17 (0.524%)
wbf: 110-147-7 (0.417%)
colonelsaunders: 143-111-10 (0.542%)
ocho: 153-99-12 (0.58%)
le thrill: 73-49-10 (0.553%)
gwen: 97-33-2 (0.735%)
dude_man: 207-162-27 (0.523%)
jimmy: 384-491-49 (0.416%)
yosh: 397-407-54 (0.463%)
seany: 397-410-51 (0.463%)
fluw: 756-732-96 (0.477%)
