id,league,name,nickname,season,gamesPlayed,wins,losses,overtimeLosses,shootoutWins,shootoutLosses,points,goalsFor,goalsAgainst,goalsDiff,winPercent,S,SA,FOPct,SB,H,TkA,GvA,PIMPerG,PPO,PPG,PPPercent,SHGA,SHO,PPGA,PKPercent,leagueRank,divisionRank,conferenceRank,playoffResult,playoffWins,playoffLosses
9,0,Edmonton,Blizzard,85,66,58,6,2,1,0,118,424,170,254,0.879,2936,1689,56.3,900,1466,771,700,6.62,222,56,0.2523,0,183,20,0.8907,1,,1,Cup Winner,16,7
9,0,Edmonton,Blizzard,86,66,57,9,0,0,0,114,411,181,230,0.864,2866,1726,54.3,1183,1581,757,728,7.08,189,38,0.2011,3,208,19,0.9087,1,,1,Cup Winner,16,3
9,0,Edmonton,Blizzard,84,66,57,8,1,0,0,115,464,210,254,0.864,2977,1856,54.4,929,1564,737,797,7.77,227,60,0.2643,3,219,34,0.8447,1,,1,Finals Lost,14,5
2,0,Hamilton,Steelhawks,61,66,57,8,1,3,0,115,315,141,174,0.864,,,,,,,,,,,,,,,,1,1,1,Cup Winner,16,3
21,0,Philadelphia,Forge,70,66,57,8,0,3,1,115,369,176,193,0.864,3076,1959,53.5,960,1618,656,538,9.26,294,77,0.2619,8,278,42,0.8489,1,1,1,Round 3,11,7
1,0,Chicago,Syndicate,62,66,56,5,1,1,4,117,315,140,175,0.848,,,,,,,,,,,,,,,,1,1,1,Round 2,6,4
2,0,Hamilton,Steelhawks,59,66,56,9,1,0,0,113,308,145,163,0.848,,,,,,,,,,,,,,,,1,1,1,Round 3,7,4
15,0,Texas,Renegades,58,66,54,11,0,3,1,109,283,136,147,0.818,,,,,,,,,,,,,,,,1,1,1,Round 3,7,5
1,0,Chicago,Syndicate,84,66,54,10,1,1,1,110,342,169,173,0.818,2302,1821,48,1181,1452,669,803,6.94,185,47,0.2541,5,193,29,0.8497,2,,2,Round 2,7,4
9,0,Edmonton,Blizzard,87,66,54,11,1,1,0,109,387,183,204,0.818,2700,1635,53.9,1331,1641,741,724,7.71,228,55,0.2412,1,224,23,0.8973,2,,2,Missed,,
19,0,Seattle,Argonauts,87,66,54,10,1,0,1,110,392,187,205,0.818,2946,1847,49.6,1267,1594,636,691,7,215,36,0.1674,6,192,23,0.8802,1,,1,Missed,,
7,0,Baltimore,Platoon,63,66,54,11,1,4,0,109,308,149,159,0.818,,,,,,,,,,,,,,,,1,1,1,Round 3,10,7
19,0,Seattle,Argonauts,68,66,54,9,1,1,2,111,318,150,168,0.818,2279,1500,53.2,823,1371,579,447,6.98,203,58,0.2857,6,204,35,0.8284,1,1,1,Cup Winner,16,5
11,0,Winnipeg,Aurora,71,66,54,9,1,2,2,111,355,184,171,0.818,2890,1861,51.7,1087,1295,646,566,9.09,281,89,0.3167,2,271,44,0.8376,1,1,1,Finals Lost,14,8
18,0,Atlanta,Inferno,80,66,54,10,2,2,0,110,355,200,155,0.818,2901,2002,51.2,1453,1285,650,602,10.85,270,67,0.2481,10,319,61,0.8088,1,1,1,Round 2,6,6
11,0,Winnipeg,Aurora,68,66,54,10,0,1,2,110,305,150,155,0.818,2586,1711,53.8,1071,1340,632,503,6.14,193,46,0.2383,5,172,21,0.8779,2,1,2,Round 2,5,5
11,0,Winnipeg,Aurora,70,66,53,11,1,0,1,108,386,194,192,0.803,2977,1733,53.8,1111,1255,706,531,9.45,269,85,0.316,3,279,43,0.8459,2,1,1,Finals Lost,15,7
5,0,New England,Wolfpack,73,66,53,11,1,2,1,108,377,173,204,0.803,2950,2055,56.7,1106,1413,595,551,9.09,283,78,0.2756,9,257,35,0.8638,1,1,1,Round 3,10,7
2,0,Hamilton,Steelhawks,57,66,53,9,0,1,4,110,283,147,136,0.803,,,,,,,,,,,,,,,,1,1,1,Finals Lost,9,5
4,0,Manhattan,Rage,85,66,53,13,0,1,0,106,383,234,149,0.803,2555,1847,52.5,1174,1438,723,690,7.32,214,28,0.1308,6,201,25,0.8756,2,,1,Round 3,10,4
5,0,New England,Wolfpack,87,66,52,11,0,0,3,107,390,187,203,0.788,2779,1709,50.8,1215,1732,703,752,6.35,197,46,0.2335,8,194,28,0.8557,3,,1,Missed,,
11,0,Winnipeg,Aurora,69,66,52,12,1,2,1,106,304,171,133,0.788,2750,1543,54.1,889,1412,688,460,7.42,204,55,0.2696,6,223,36,0.8386,1,1,1,Finals Lost,13,11
7,0,Baltimore,Platoon,76,66,52,11,1,1,2,107,309,186,123,0.788,2481,2190,56,1132,1154,708,631,7.02,219,52,0.2374,10,198,26,0.8687,1,1,1,Finals Lost,13,10
1,0,Chicago,Syndicate,64,66,52,14,0,4,0,104,244,155,89,0.788,,,,,,,,,,,,,,,,1,1,1,Cup Winner,16,7
9,0,Edmonton,Blizzard,83,66,52,14,0,0,0,104,412,219,193,0.788,2854,1820,54.4,956,1586,675,807,7,202,48,0.2376,5,212,41,0.8066,1,,1,Finals Lost,15,9
9,0,Edmonton,Blizzard,74,66,52,13,1,1,0,105,381,188,193,0.788,3069,2014,54.2,1081,1388,610,598,9.86,300,78,0.26,13,296,53,0.8209,1,1,1,Round 2,6,4
7,0,Baltimore,Platoon,62,66,52,12,1,5,1,106,272,152,120,0.788,,,,,,,,,,,,,,,,2,1,1,Round 3,8,7
0,0,Buffalo,Stampede,60,66,51,10,3,3,2,107,306,166,140,0.773,,,,,,,,,,,,,,,,1,1,1,Cup Winner,16,6
1,0,Chicago,Syndicate,57,66,51,12,1,7,2,105,280,142,138,0.773,,,,,,,,,,,,,,,,2,2,2,Cup Winner,16,8
19,0,Seattle,Argonauts,86,66,51,13,2,1,0,104,375,211,164,0.773,2575,1830,50.3,1199,1573,573,766,6.05,195,45,0.2308,3,170,24,0.8588,2,,2,Round 3,9,9
18,0,Atlanta,Inferno,68,66,51,13,0,1,2,104,274,159,115,0.773,2385,1964,49.4,966,1357,651,450,7.27,208,44,0.2115,11,211,34,0.8389,3,1,1,Round 2,7,5
5,0,New England,Wolfpack,72,66,51,15,0,0,0,102,364,216,148,0.773,3044,2076,54.1,1080,1418,665,556,10.5,315,89,0.2825,10,301,51,0.8306,1,1,1,Finals Lost,13,8
