id,league,name,nickname,season,gamesPlayed,wins,losses,overtimeLosses,shootoutWins,shootoutLosses,points,goalsFor,goalsAgainst,goalsDiff,winPercent,S,SA,FOPct,SB,H,TkA,GvA,PIMPerG,PPO,PPG,PPPercent,SHGA,SHO,PPGA,PKPercent,leagueRank,divisionRank,conferenceRank,playoffResult,playoffWins,playoffLosses
7,1,Detroit,Falcons,65,66,59,5,1,2,1,120,330,137,193,0.894,,,,,,,,,,,,,,,,1,1,1,Cup Winner,12,5
4,1,Newfoundland,Berserkers,63,66,58,6,2,3,0,118,323,110,213,0.879,,,,,,,,,,,,,,,,1,1,1,Cup Winner,12,2
4,1,Newfoundland,Berserkers,64,66,57,8,0,3,1,115,308,124,184,0.864,,,,,,,,,,,,,,,,1,1,1,Cup Winner,12,3
4,1,Newfoundland,Berserkers,60,66,56,7,2,3,1,115,287,129,158,0.848,,,,,,,,,,,,,,,,1,1,1,Cup Winner,12,4
3,1,Vancouver,Whalers,86,66,55,9,1,0,1,112,425,171,254,0.833,2769,1518,51.4,777,2156,850,776,5.94,169,33,0.1953,2,180,21,0.8833,1,,1,Cup Winner,16,7
15,1,Quebec City,Citadelles,88,66,54,10,1,3,1,110,358,180,178,0.818,2638,1746,51.8,950,2414,797,704,7.32,217,43,0.1982,4,197,25,0.8731,1,,1,Round 3,11,4
7,1,Detroit,Falcons,68,66,54,11,1,0,0,109,326,144,182,0.818,2108,1604,52.8,786,1921,551,486,5.86,163,47,0.2883,4,159,38,0.761,1,1,1,Cup Winner,12,6
15,1,Quebec City,Citadelles,80,66,53,11,2,3,0,108,374,189,185,0.803,2973,1963,47.7,727,1774,733,588,9.85,265,71,0.2679,7,282,53,0.8121,1,,1,Cup Winner,16,7
15,1,Quebec City,Citadelles,87,66,53,12,0,2,1,107,449,202,247,0.803,2985,1644,49.7,856,2356,759,637,6.2,194,39,0.201,3,185,27,0.8541,1,,1,Cup Winner,16,3
1,1,Kelowna,Knights,58,66,53,10,1,5,2,109,252,134,118,0.803,,,,,,,,,,,,,,,,1,1,1,Round 3,5,7
0,1,Anchorage,Armada,88,66,52,11,1,0,2,107,365,197,168,0.788,2601,1719,51.9,1040,2572,703,708,7.45,227,34,0.1498,11,206,30,0.8544,2,,2,Cup Winner,16,4
15,1,Quebec City,Citadelles,85,66,51,12,1,1,2,105,407,209,198,0.773,2872,1947,48.9,659,2381,736,767,6.55,217,34,0.1567,5,181,28,0.8453,1,,1,Cup Winner,16,2
3,1,Vancouver,Whalers,61,66,51,12,1,0,2,105,294,146,148,0.773,,,,,,,,,,,,,,,,1,1,1,Cup Winner,12,2
2,1,Maine,Timber,71,66,51,10,1,5,4,107,331,173,158,0.773,2855,1809,56.2,949,2214,654,610,11.52,283,58,0.2049,6,299,47,0.8428,1,1,1,Cup Winner,12,2
2,1,Maine,Timber,78,66,51,11,3,2,1,106,343,199,144,0.773,2836,1981,52.8,1097,1535,708,647,6.23,188,56,0.2979,7,180,33,0.8167,1,,1,Cup Winner,16,5
15,1,Quebec City,Citadelles,75,66,51,12,3,1,0,105,354,181,173,0.773,,,,,,,,,,,,,,,,1,1,1,Round 3,6,6
2,1,Maine,Timber,63,66,50,15,0,1,1,101,292,173,119,0.758,,,,,,,,,,,,,,,,2,1,2,Round 3,4,7
4,1,Newfoundland,Berserkers,80,66,50,12,3,3,1,104,346,197,149,0.758,2842,2177,53.6,907,1571,759,557,10.44,308,64,0.2078,9,289,43,0.8512,2,,2,Round 2,4,4
19,1,San Diego,Tidal,86,66,50,14,2,1,0,102,360,220,140,0.758,2376,1747,54.4,850,1803,844,716,6.24,174,31,0.1782,11,170,26,0.8471,2,,1,Finals Lost,14,5
15,1,Quebec City,Citadelles,76,66,49,15,1,2,1,100,293,183,110,0.742,2834,1907,50.4,1071,1509,598,645,7.62,223,57,0.2556,2,210,46,0.781,1,,1,Cup Winner,16,2
14,1,Nevada,Battleborn,66,66,49,13,3,4,1,102,273,152,121,0.742,2316,1494,50.5,565,1819,683,503,5.79,162,38,0.2346,3,159,27,0.8302,1,1,1,Cup Winner,12,0
8,1,St. Louis,Scarecrows,82,66,49,16,0,2,1,99,294,202,92,0.742,2589,1889,49.5,809,2565,647,810,7.24,217,36,0.1659,6,207,23,0.8889,1,,1,Cup Winner,16,10
1,1,Kelowna,Knights,59,66,49,13,0,2,4,102,275,157,118,0.742,,,,,,,,,,,,,,,,1,1,1,Cup Winner,12,5
15,1,Quebec City,Citadelles,57,66,49,8,3,1,6,107,263,161,102,0.742,,,,,,,,,,,,,,,,1,1,1,Round 3,7,6
14,1,Nevada,Battleborn,71,66,48,12,4,3,2,102,336,219,117,0.727,2818,2040,52.8,767,2333,588,595,11.59,261,75,0.2874,4,304,60,0.8026,2,2,2,Round 3,11,6
2,1,Maine,Timber,70,66,48,14,1,5,3,100,314,187,127,0.727,2451,1704,55.2,1024,1930,687,589,7.52,219,54,0.2466,6,196,38,0.8061,1,1,1,Finals Lost,8,8
2,1,Maine,Timber,77,66,48,16,1,2,1,98,323,197,126,0.727,2795,1993,54.1,920,1683,618,613,10.21,245,56,0.2286,8,267,48,0.8202,1,,1,Round 3,10,5
9,1,Carolina,Kraken,80,66,48,14,2,2,2,100,295,183,112,0.727,2444,1913,51.4,1160,1669,685,530,9.44,251,58,0.2311,11,263,48,0.8175,3,,1,Finals Lost,15,6
15,1,Quebec City,Citadelles,83,66,48,15,2,2,1,99,378,217,161,0.727,2778,2074,48.9,782,2263,709,904,7.71,228,41,0.1798,4,206,28,0.8641,2,,1,Round 2,5,5
15,1,Quebec City,Citadelles,65,66,48,11,3,3,4,103,301,171,130,0.727,,,,,,,,,,,,,,,,2,1,1,Round 3,5,5
8,1,St. Louis,Scarecrows,83,66,48,13,1,1,4,101,322,201,121,0.727,2630,1949,50.7,764,2493,666,960,8.73,259,45,0.1737,4,249,45,0.8193,1,,1,Cup Winner,16,6
15,1,Quebec City,Citadelles,74,66,48,12,2,1,4,102,272,153,119,0.727,2315,1661,49.9,862,1671,511,597,6.86,199,45,0.2261,2,205,34,0.8341,1,1,1,Round 3,6,5
14,1,Nevada,Battleborn,86,66,48,17,1,2,0,97,303,198,105,0.727,2449,1815,49.9,777,2544,636,982,7.44,175,26,0.1486,9,202,22,0.8911,4,,2,Round 2,6,5
6,1,Colorado,Raptors,61,66,48,14,3,2,1,100,260,164,96,0.727,,,,,,,,,,,,,,,,2,1,1,Round 3,5,4
4,1,Newfoundland,Berserkers,86,66,48,16,2,0,0,98,366,245,121,0.727,2514,1858,51.1,1037,2426,804,752,7.61,194,34,0.1753,5,185,34,0.8162,3,,2,Round 1,3,4
7,1,Detroit,Falcons,69,66,47,15,1,3,3,98,281,166,115,0.712,2151,1455,50.1,727,1887,616,508,6.89,201,51,0.2537,9,180,31,0.8278,1,1,1,Finals Lost,9,6
4,1,Newfoundland,Berserkers,65,66,47,15,1,2,3,98,291,139,152,0.712,,,,,,,,,,,,,,,,3,2,2,Finals Lost,15,8
3,1,Vancouver,Whalers,73,66,47,16,2,2,1,97,285,178,107,0.712,2450,2120,49.1,898,1747,565,656,8.05,243,43,0.177,10,234,42,0.8205,1,1,1,Round 3,4,7
3,1,Vancouver,Whalers,60,66,47,14,2,4,3,99,263,162,101,0.712,,,,,,,,,,,,,,,,2,1,1,Round 3,6,7
15,1,Quebec City,Citadelles,58,66,46,14,0,3,6,98,255,144,111,0.697,,,,,,,,,,,,,,,,2,1,1,Cup Winner,12,5
0,1,Anchorage,Armada,60,66,46,17,0,2,3,95,276,160,116,0.697,,,,,,,,,,,,,,,,3,2,2,Finals Lost,14,7
14,1,Nevada,Battleborn,88,66,46,20,0,1,0,92,334,235,99,0.697,2557,1835,47.5,959,2602,580,862,6.68,198,41,0.2071,5,194,24,0.8763,3,,1,Round 3,9,6
15,1,Quebec City,Citadelles,84,66,46,16,1,0,3,96,349,217,132,0.697,2568,1856,51.4,731,2256,735,787,7.79,207,40,0.1932,8,218,31,0.8578,1,,1,Cup Winner,16,2
15,1,Quebec City,Citadelles,79,66,46,18,1,0,1,94,340,214,126,0.697,2921,2064,45.9,755,2022,724,593,9.98,274,65,0.2372,10,265,61,0.7698,1,,1,Cup Winner,16,5
15,1,Quebec City,Citadelles,64,66,46,17,2,5,1,95,253,190,63,0.697,,,,,,,,,,,,,,,,3,1,2,Finals Lost,8,6
0,1,Anchorage,Armada,62,66,46,16,3,5,1,96,219,166,53,0.697,,,,,,,,,,,,,,,,2,1,1,Finals Lost,8,6
3,1,Vancouver,Whalers,62,66,46,16,0,3,4,96,259,183,76,0.697,,,,,,,,,,,,,,,,1,1,1,Round 3,6,6
6,1,Colorado,Raptors,70,66,46,17,3,5,0,95,278,202,76,0.697,1955,1891,52.5,953,1454,613,527,5.68,162,42,0.2593,6,158,36,0.7722,2,1,1,Round 2,0,4
18,1,Ottawa,Highlanders,87,66,45,20,1,1,0,91,310,221,89,0.682,2261,1951,52.2,1019,2469,699,800,7.21,216,38,0.1759,6,199,26,0.8693,3,,1,Round 2,6,5
5,1,Yukon,Malamutes,66,66,45,19,1,2,1,92,269,183,86,0.682,2270,1703,53.4,840,1672,579,640,5.79,162,53,0.3272,6,168,34,0.7976,4,2,4,Round 1,3,4
4,1,Newfoundland,Berserkers,61,66,45,17,0,3,4,94,245,156,89,0.682,,,,,,,,,,,,,,,,3,1,2,Finals Lost,8,6
