name_fix,PlayerID,seasons
Ryosake Sato,9,67
Ryosuke Sato,9,"53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76"
Ryu Jones,14,"54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 72, 73, 74, 75, 76, 77"
Ryu jones,14,"67, 68, 69, 70, 71"
Dane Von Gucci,46,68
Dane von Gucci,46,"59, 60, 61, 62"
George Cruce,57,"67, 68"
Patrice Bergeron,57,"69, 70, 71, 72, 73, 74, 75, 76, 77, 78"
Greg Patterson,70,"67, 68, 69, 70, 71, 72, 73, 74"
Shotty McStopper,70,"75, 76, 77, 78, 79, 80, 81, 82, 83, 84"
Mads McBride,84,"67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79"
Mads Mcbride,84,"65, 66"
Ed Hendricks,85,"67, 68"
Guinness O'Bigbers,85,69
Kevin MacIlleriach,91,"67, 68"
Viktor Hargreeves,91,"69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84"
Kyle Murray,98,"69, 70, 71, 72, 73, 74, 75, 76"
Powell Ferris,98,"67, 68"
Billy Gross,142,"67, 68"
Johnny Wagner-Svenson,142,"69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84"
Finn Von Murphenstein,146,"57, 58, 59, 60"
Finn von Murphenstein,146,"61, 62, 63, 64, 65, 66, 67, 68, 69"
Aleksi Kettu,149,"69, 70, 71, 72, 73, 74, 75, 76"
Casey Lehman,149,"67, 68"
Daedalus James,155,"59, 60, 61, 62, 64"
Daedelus James,155,"65, 66, 67, 68"
Eric D'Abernon,158,"67, 68"
Luca Pane,158,"69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84"
Friedenscreich Hundertwasser,161,"58, 59"
Friedensreich Hundertwasser,161,"60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70"
Anthonny Dionne,165,"66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78"
Anthony Dionne,165,"79, 80, 81, 82, 83"
Edward Elric,182,"69, 70, 71, 72, 73, 74, 75, 76, 77"
William Clark,182,"67, 68"
Chris Rone,187,"67, 68"
Klaes Ashford,187,"69, 70, 71, 72, 73"
Jack St. Clair,197,"69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84"
Jimmy Reichel,197,"67, 68"
Tomas Zadina,227,"62, 63, 64, 65, 66, 68, 69, 70, 71, 72"
Tomas Zedina,227,67
Albert Lowery,247,"67, 68"
Nibbles The Squirrel,247,"69, 70, 71, 72, 73, 74, 75, 76"
David-Arturri Donskoi,248,"69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79"
Tim Graham,248,"67, 68"
Karter Mendenhall,265,"75, 76, 77, 78"
Russ McCray,265,"67, 68, 69, 70, 71, 72, 73, 74"
Ekaterina Valieva,271,"69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83"
Jesús Méndez,271,"67, 68"
Victor Krunk,282,67
Viktor Krunk,282,"62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77"
Dan Taylor,287,"67, 68"
Dusty Wilson,287,"69, 70, 71, 72, 73, 78"
Johnny Tsunami,294,"67, 68, 69"
Jonny Tsunami,294,"57, 58, 59, 60, 61, 62, 65, 66, 72"
Magnus Liljestr?m,307,"54, 55, 56, 57, 58, 59"
Magnus Liljestrom,307,"52, 53, 60, 61, 62, 63, 64, 65, 66"
Magnus Liljeström,307,"67, 68, 69"
Cody Dorrane,313,"67, 68"
Graj Virrok,313,"69, 70, 71, 72, 73, 74, 75"
John Reynolds,314,"67, 68"
Lord Farquaads,314,"69, 70, 71, 72, 73, 74, 75, 76"
Jonathan Granstrom,317,"61, 62, 63, 64, 65, 66"
Jonathan Granström,317,"67, 68, 69, 70, 71"
Melvin Majestic-Moose,328,"65, 66"
Melvin Majestik-Moose,328,"67, 68, 69, 70, 71, 72, 73, 74, 75, 76"
Luke Laraque,329,"69, 70, 71, 72, 73, 74, 75, 76, 77"
Nathaniel Hull,329,"67, 68"
Julian Florsch,335,"82, 83, 84"
Julian Flörsch,335,"66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81"
Isaac Forty-One,347,"69, 70, 71, 72, 73, 74, 75, 76"
Jody Page,347,"67, 68"
Quincy Thomason,348,"67, 68"
Sebastien Regazzoni,348,"69, 70, 71, 72, 73, 74, 76, 77"
Bob Duncan,353,"61, 66, 70, 71"
Willie Welch,353,"67, 68, 69"
Georg N'Zola,361,"69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82"
Miguel Hernandez,361,"67, 68"
Rand Al'Thor,368,66
Rand al'Thor,368,"67, 68, 69, 70"
Benson Fiorentini,378,"68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78"
Benson Fiorentino,378,67
Angry Gilmore,382,"69, 70, 71"
Jonathan Carlock,382,"67, 68"
Jeff Patterson,383,"67, 68"
Nathan Meagher,383,"69, 70, 71, 72, 73, 74, 75, 76, 77, 78"
Przybywoj Butkowski,388,"67, 68"
Ralph Ryan,388,69
JR Frankenstein,395,67
JR Frankenstero,395,"66, 68, 69, 70, 71, 72, 73, 74, 75"
Carl Eggers,429,"67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80"
Gino Fortezza,429,"81, 82, 83, 84"
Benjamin Suekhi-Ze'ev,447,65
Benjamin Surkhi-Ze'ev,447,"66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81"
Edzus Ozolins,453,"82, 83, 84"
Edus Ozolins,453,"74, 75, 76, 77, 78, 79, 80, 81"
Edžus Ozolins,453,"69, 70, 71, 72, 73"
Irving Haliburtoun,453,"67, 68"
Chimkin Tendy,456,"57, 58, 59"
Chimkin Wing,456,"60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74"
Patricija Ozerova,459,69
Stephen Bannalyne,459,"67, 68"
Antoni Flusso,687,"69, 70, 71"
Antonio Flusso,687,"72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84"
Toasty,695,"83, 84"
Toasty O'Bigbers,695,"69, 70, 71, 72, 73, 74, 75, 76"
Toasty Soderberg-Snooks,695,82
Toasty Söderberg-Snooks,695,"77, 78, 79, 80, 81"
Lasse Zeigler,761,"79, 80"
Lasse Ziegler,761,"71, 72, 73, 74, 75, 76, 77, 78"
Willow Soderberg-Snooks,1033,"82, 83"
Willow Söderberg-Snooks,1033,"72, 73, 74, 75, 76, 77, 78, 79, 80, 81"
Jolngustraaduvich DuBolk,1135,82
Jølngütrâädüvich DuBølk,1135,"74, 75, 76, 77, 78, 79, 81"
Jølngüštrâädüvich DuBølk,1135,73
Froya Solberg,1206,"82, 83, 84"
Frøya Solberg,1206,"74, 75, 76, 77, 78, 79, 80, 81"
Squidwardo Tentacles,1428,"82, 83, 84"
Squidwardo Tentaclés,1428,"76, 77, 78, 79, 80, 81"
Jani Manty,1443,"82, 83, 84"
Jani Mänty,1443,"76, 77, 78, 79, 80, 81"
Dag-Otto Bjorntjanst,1451,"82, 83, 84"
Dag-Otto Björntjänst,1451,"76, 77, 78, 79, 80, 81"
Florian Soderberg-Motyla,1509,"82, 83, 84"
Florian Söderberg-Motyla,1509,"76, 77, 78, 79, 80, 81"
AT-AT Wollker,1555,"82, 83, 84"
AT-AT Wøllker,1555,"77, 78, 79, 80, 81"
Cob OCorn,1559,"77, 80, 81"
Cob O’Corn,1559,"82, 83, 84"
Simo Jaaskelainen,1582,82
Simo Jääskeläinen,1582,"77, 78, 79, 80, 81"
Dieter Fruhstuck,1643,"82, 83, 84"
Dieter Frühstück,1643,"78, 80, 81"
Abby Wright-Bach,1786,"81, 82, 83, 84"
QCCBOT4,1786,"79, 80"
Anastasia Soderstrom,1847,82
Anastasia Söderström,1847,"79, 80, 81"
Olafur Atlason,1899,82
Ólafur Atlason,1899,"80, 81"
Florence-Amelie Mackenzie,1912,"81, 82, 83, 84"
Trent Mackenzie,1912,80
Louis Belanger,1926,"82, 83, 84"
Louis Bélanger,1926,"80, 81"
Kal Akar Kekkonen,1944,"82, 83, 84"
Kal Åkar Kekkonen,1944,"80, 81"
Celeste Desjardins,1979,"82, 83, 84"
Céleste Desjardins,1979,81
Ivan Scochnikov III,1994,"82, 83, 84"
Marián Hanák,1994,81
Logan Wong,2000015,"57, 58"
Viktor Marius,2000015,"38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55"
Herb Robert,2000061,"44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55"
Michael Scotch,2000061,"57, 58, 59"
Dylan Karlsson,2000174,"45, 46, 47, 48, 49, 50, 51, 53, 54, 55"
Emilia Bergman,2000174,"56, 57, 58, 59, 60, 61, 62, 63, 64, 65"
Eko Van Otter,2000178,"46, 47, 48, 49, 50, 51, 52"
Eko van Otter,2000178,"53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65"
J?ln DuB?lk,2000207,54
Joln DuBolk,2000207,"45, 46, 47, 48, 49, 50, 51, 52, 53"
Brady McIntyre,2000303,"53, 54, 55, 56, 57, 58, 59"
Brady Mcintyre,2000303,"41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
Jordan Von Matt,2000307,"43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
Jordan von Matt,2000307,"53, 54, 55, 56, 57, 58, 59, 60"
Narboza Manyhands,2000335,"59, 60, 61"
Noah Tedla,2000335,"51, 52, 53, 54, 55, 56, 57, 58"
Gottlieb McZehrl,2000350,41
