name_fix,PlayerID,seasons
Anthony Dionne,2588,68
Anthony Dionne,2595,"66, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84"
Brick Wall,764,"64, 65, 66, 67, 68, 69, 70, 71, 72, 73"
Brick Wall,1100068,"17, 18"
Daedalus James,1521,"59, 60, 61, 62, 63, 64, 66, 67, 68"
Daedalus James,2027,65
Filip Zadina,425,"48, 49, 50, 51, 52, 53"
Filip Zadina,725,"54, 55, 56, 57, 58"
Hamilton Steelhawk,3870,85
Hamilton Steelhawk,4957,"83, 84, 85"
Ima Noobie,4941,82
Ima Noobie,5600,85
Jack Kennedy,60,"46, 47, 48, 49, 50, 51, 52, 53, 56, 57"
Jack Kennedy,580,"54, 55"
Jakub Bruchevski,681,"56, 57, 58, 59, 60, 61, 62, 63, 64, 65"
Jakub Bruchevski,1002725,52
Johnny Patey,761,54
Johnny Patey,3226,"69, 70, 72"
Johnny Shuffleboard,1262,"58, 59, 60, 61, 62, 63, 64"
Johnny Shuffleboard,3975,"74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85"
Jonathan Kane,1000769,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29"
Jonathan Kane,5000360,"1, 2, 3, 4, 6"
Josh Latreille,3767,73
Josh Latreille,4064,76
Laraque Obama,1000250,"38, 39, 40, 41, 42, 43"
Laraque Obama,5000358,"6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17"
Lassi Suhonen,321,57
Lassi Suhonen,1312,"58, 59, 60, 61, 62, 63, 64, 65, 66"
Lucas Raymond,3079,68
Lucas Raymond,4706,"79, 80, 81, 82, 83, 84, 85"
Matt Smith,5487,85
Matt Smith,1000019,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
Monster The Doctor,300,60
Monster The Doctor,2259,"63, 64, 65, 66, 67"
Niclas Wastlund,4607,"78, 79, 80, 81, 82, 83, 84, 85"
Niclas Wastlund,1000358,"8, 9, 10, 11, 12, 13"
Nikolaj Boyle,582,"60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72"
Nikolaj Boyle,1001652,"46, 52"
Outdoor Truck,2892,"67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81"
Outdoor Truck,4851,"82, 83"
Pass Forfeit,3021,"68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81"
Pass Forfeit,4872,"83, 84"
Patrice Bergeron,3670,"72, 73, 74, 75, 76, 77, 78"
Patrice Bergeron,1000222,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
Petr Vrana,3719,72
Petr Vrana,1100176,"44, 45"
Pierre Quiroule,5099,85
Pierre Quiroule,5299,83
Ricky Bobby,183,"55, 57"
Ricky Bobby,541,"53, 54"
Tibuk Soonika,33,"46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58"
Tibuk Soonika,3746,"73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85"
Tobias Lindeman,0,"51, 52, 53, 54, 55"
Tobias Lindeman,663,"54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67"
Toki Wartooth,637,57
Toki Wartooth,1000870,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35"
Tom Pedersen,3008,"68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81"
Tom Pedersen,5079,"83, 84, 85"
