name_fix,PlayerID,seasons
Martijn  Westbroek,54,"53, 54, 55, 56, 57, 58, 59"
Martijn Westbroek,54,"48, 49, 50, 51, 52, 60, 61, 62, 63, 64, 65"
 Rob Wright,255,59
Rob Wright,255,"60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70"
Chimkin Tendy,299,58
Chimkin Wing,299,"59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74"
Monster The Doctor,300,60
Rusty Remao,300,"61, 62, 67, 68, 69, 70, 71, 72, 73"
Karlstra?e Scholz,301,53
Karlstrasse Scholz,301,"48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65"
Lil Manius,491,"44, 45, 46, 47, 48, 49, 50, 51, 52, 58, 59"
Lil' Manius,491,"53, 54, 55, 56, 57"
Luca Vecceli,550,"53, 54, 55, 56"
Luca Veccelli,550,"52, 57, 58, 59, 60"
 Strom Chamberlain,565,"53, 54, 55"
Strom Chamberlain,565,"52, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72"
A Jobin,596,"55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65"
Alfonso Jobin,596,54
Erban Kasius,631,54
Erben Kasius,631,"56, 57, 58, 59, 60, 61, 63"
Jakub Bruchevsi,681,"53, 54, 55"
Jakub Bruchevski,681,"56, 57, 58, 59, 60, 61, 62, 63, 64, 65"
Luc-Pierre Lespineau-Lebr,731,"54, 55, 56, 57"
Luc-Pierre Lespineau-Lebrunette,731,"58, 59, 60, 61, 62, 63, 64"
Al Kayhal,791,51
Al Kayhall,791,"54, 55, 57, 60"
Stan Din'desque,1057,"65, 66, 67, 68, 69, 70"
Stan Dindesque,1057,"62, 63, 64"
Jean-Uhtred Ragnarsson-Tr,1215,57
Jean-Uhtred Ragnarsson-Tremblay,1215,"58, 59, 60, 61, 62"
Jean-Uhtred Soderberg-Tremblay,1215,"63, 64, 65, 66, 67, 68, 69, 70"
Teddy Murphy,1295,"59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70"
Teddy Park,1295,58
Eddi Kastrba,1368,66
Eddie Kastrba,1368,68
Jannik Nordstern,2851,"68, 69"
Jannik Nordtern,2851,67
EGGWARD ELRIC,3188,"71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81"
Edward Elric,3188,"69, 70"
Jack St Clair,3287,70
Jack St. Clair,3287,"71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85"
Toasty,3395,"70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80"
Toasty ,3395,"83, 84, 85"
Toasty Soderberg-Snooks,3395,"81, 82"
KyIe Murray,3404,"71, 72, 73, 74, 75, 76"
Kyie Murray,3404,70
Anastasia Soderstrom,4411,"80, 81, 82, 83"
Anastasia Söderström,4411,"77, 78, 79"
Simo Jaaskelainen,4443,"80, 81, 82, 83, 84, 85"
Simo Jääskeläinen,4443,"77, 78, 79"
Froya Solberg,4484,"79, 80, 81, 82, 83, 84, 85"
Frøya Solberg,4484,"77, 78"
Celeste Desjardins,4516,"80, 81, 82, 83, 84, 85"
Céleste Desjardins,4516,"77, 78, 79"
Jean-Jacques Francois Jacques-Jean,4584,"83, 84, 85"
Jean-Jacques François Jacques-Jean,4584,"78, 79, 80, 81, 82"
AT-AT Wollker,4831,"80, 81, 82, 83, 84, 85"
AT-AT Wøllker,4831,79
Ivan Scochnikov III,4864,"82, 83, 84, 85"
Marian Hanak,4864,"80, 81"
Ima Noobie,4941,82
No Cheddar,4941,"84, 85"
Abby Wright-Bach,4973,"82, 83, 84, 85"
QCCBOT4,4973,80
Kiwi Soderberg-Snooks,5019,"83, 84, 85"
Kiwi Söderberg-Snooks,5019,82
Grindle Waters-Johnson,5048,82
John Kwansanity,5048,"83, 84, 85"
