name_fix,PlayerID,seasons
Activity Check,1940,"72, 73, 74"
Activity Check,2190,71
Adam Abodobe,5000289,23
Adam Abodobe,5000335,24
Alvin Towne,1743,64
Alvin Towne,1861,"65, 66, 67, 68"
Andrei Vasilevskiy,2713,"80, 81, 82, 83, 84, 85"
Andrei Vasilevskiy,3562,78
Anton Bjorninen,2475,82
Anton Bjorninen,3067,81
Anton Federov,5000312,23
Anton Federov,5000347,24
Archibald Walker,1584,"75, 76, 77, 78"
Archibald Walker,2572,74
Bar Downski,839,61
Bar Downski,5000272,"35, 36, 37, 38"
Beau Ballard,5000316,23
Beau Ballard,5000353,24
Benjamin Devito,1267,66
Benjamin Devito,1771,"67, 68"
Bo Jangles,2876,"74, 75"
Bo Jangles,3387,"83, 84, 85"
Bobby Beans,1220,62
Bobby Beans,1410,"64, 67, 68"
Brandon Girard,5000282,23
Brandon Girard,5000323,24
Brick Wall,1252,"61, 62, 63, 64"
Brick Wall,1100068,"15, 16, 17"
Buster Killington,5000293,23
Buster Killington,5000337,24
Cain Pooyak,1012,"76, 77"
Cain Pooyak,1680,"76, 77, 78, 79"
Chad Chadwick,1889,71
Chad Chadwick,2418,72
Clifford Wilson,721,"60, 61, 62"
Clifford Wilson,1019,59
Colin Lambert,287,53
Colin Lambert,477,"54, 55, 56, 57"
Colton,2756,"77, 79"
Colton,3497,"84, 85"
Connor Bedard,1409,70
Connor Bedard,3755,80
Daisuke Nakamura,1782,69
Daisuke Nakamura,1939,69
Damien Wert,5000308,23
Damien Wert,5000345,24
Dave Bardizz,2388,74
Dave Bardizz,2771,"75, 76, 77"
David Vent,3261,"76, 77, 78, 79"
David Vent,5000053,"45, 46, 47, 48"
Derrick Prince,1665,"67, 68, 69"
Derrick Prince,2202,70
Deven Rappleyea,3541,"78, 79, 80"
Deven Rappleyea,3783,81
Dylan Catellier,1420,69
Dylan Catellier,2296,"71, 72"
Elvis Libra,5000285,23
Elvis Libra,5000326,24
Emiko Spector,1345,"62, 63"
Emiko Spector,5000279,"48, 49, 50"
