name_fix,PlayerID,seasons
IStawp Puques,2,58
Tobias Ray,2,"55, 56"
Cyril Vyskoc,20,"51, 52, 53, 54, 55"
Jaeger Jones,20,"60, 61, 62, 63, 64"
Danny White,28,"51, 52, 53"
Ryan Cvitkovich,28,"54, 55"
Kalevolaripaavo Kaspertom,47,53
Kalevolaripaavo Kaspertommevisnapuu,47,"49, 50, 51, 52"
Skyler Stevens,66,"52, 53, 54, 55, 56"
Zhen Roza,66,"59, 60, 61"
Mertin Broduer,68,54
Tyler Cannon,68,"57, 58, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84"
Kanye South,82,60
Partario Scarangella,82,"49, 50, 51, 52, 53"
Marek Skoda,118,"60, 61, 62, 63, 64, 65"
Stracimir Petrovic,118,"50, 51, 52, 53, 54"
Corey McFarland,132,"59, 60, 61, 62, 63"
Steven Vassallo,132,"50, 51, 52, 53"
SLATT Potts,150,"53, 54"
Slatt Potts,150,"51, 52"
Luukas Lilja,189,"56, 57, 58, 59"
Sasha Voskoboynikov,189,54
Damien Vertigo,198,"55, 56, 57, 58"
Shiqa Vitalievich,198,53
Chimkin Tendy,233,"55, 56, 57, 58"
Oleg Igorevich Burov,233,"50, 51, 52, 53, 54"
Stacy Jefferson Jr.,238,49
Teylora Petrov,238,"54, 55, 56, 57"
Coco Colin ,255,57
Skipper Joe,255,53
Asclepius Perseus Flitter,261,"53, 54, 55, 57"
Asclepius Perseus Flitterwind,261,56
Conner McLavish,264,"61, 63"
Jason Voorhees,264,"52, 53, 54, 55, 56"
Julius Parker,267,"60, 61, 62, 63, 64"
King Leaf,267,57
Luc-Pierre Lespineau-Lebr,271,53
Luc-Pierre Lespineau-Lebrunette,271,"50, 51, 52"
Marian Elsner,272,"50, 51, 52"
Mikael Koskinen,272,"56, 57, 58, 59, 60"
Colin Lambert,287,53
Sarah Burke,287,"54, 55, 56, 57"
"Sammy ""The Goon"" Koa",304,"55, 56"
Sammy Koa,304,"53, 54"
Keith Lee,320,54
Velveteen Dream,320,"51, 52, 53"
Ryan Aron,332,53
Shawn Lonkert,332,"58, 59, 60, 61, 62, 63, 64, 65, 66, 67"
Vincent Catalano,366,"61, 62"
Zach Attack,366,"53, 54, 55, 56"
Damian Daniels,385,62
Igor Bursov,385,"59, 60, 61"
Jean-Uhtred Ragnarsson-Tr,388,"54, 55"
Jean-Uhtred Ragnarsson-Tremblay,388,56
Jean-Uthred Ragnarsson-Tr,388,53
Bugsy O'Hoolihan,460,59
Finn McNast,460,"61, 65"
Arsene Leclerc,463,"55, 56, 57"
Harry Walker,463,54
Biggs Secksy,473,"54, 55, 57"
Shirakai Fubuki,473,58
Slava Petrov,518,54
Zayne Rotzbua,518,"56, 57, 58, 59"
Gus Ceroni,523,"62, 63, 64"
Nashy Goodboi,523,"65, 66, 67, 68"
Ryan Aaron,523,"55, 56"
Hennesey-Gallchobhar O'Mc,528,"54, 55, 57"
Hennesey-Gallchobhar O'McGuiness,528,56
