name_fix,PlayerID,seasons
Adam Prpich,450,"67, 68, 69"
Adam Prpich,1799,"65, 66"
Adrian O'Rugg,24,"67, 68, 69, 70"
Adrian O'Rugg,1393,66
Aleksandr Iskandrov,87,67
Aleksandr Iskandrov,1652,"64, 65, 66"
Aleksi Kettu,250,67
Aleksi Kettu,1612,"64, 65, 66"
Alexander Mackenzie,668,61
Alexander Mackenzie,1277,"62, 63, 64"
Alexi Piastri,159,"67, 68, 69"
Alexi Piastri,1684,66
Alexis Paquette,1038,"60, 61"
Alexis Paquette,1276,"62, 63, 64"
Alvin Towne,33,"67, 68"
Alvin Towne,1635,"64, 65, 66"
Angry Gilmore,38,67
Angry Gilmore,1795,"65, 66"
Anthony Dionne,165,"67, 68"
Anthony Dionne,1572,"64, 65, 66"
Antonio Flusso,306,"67, 68"
Antonio Flusso,1785,"65, 66"
August Von Hecht,297,"67, 68, 69"
August Von Hecht,1712,66
Axel Kirby,192,"67, 68, 69"
Axel Kirby,1751,"65, 66"
B Jobin,231,67
B Jobin,1611,"64, 65, 66"
Bandit Heeler,66,"67, 68, 69, 70"
Bandit Heeler,1388,66
Bavel Pure,93,"67, 68"
Bavel Pure,1787,"65, 66"
Ben Der,1291,62
Ben Der,1429,"63, 64, 65, 66"
Ben Waters Jr.,179,67
Ben Waters Jr.,1578,"64, 65, 66"
Bender Junior,348,68
Bender Junior,775,"69, 70, 71"
Benjamin Surkhi-Ze'ev,79,67
Benjamin Surkhi-Ze'ev,1654,"64, 65, 66"
Benson Florentini,47,67
Benson Florentini,1647,"64, 65, 66"
Billy Blazes,313,67
Billy Blazes,1656,"64, 65, 66"
Bnana NWaffles,219,"67, 68"
Bnana NWaffles,1755,"65, 66"
Bobby McGinnis,49,"67, 68, 69"
Bobby McGinnis,1502,66
Bohdan Jarovsky,252,"67, 68, 69"
Bohdan Jarovsky,1694,66
Bojack Calhoun,171,"67, 68"
Bojack Calhoun,1535,66
Boom Stick,213,"67, 68"
Boom Stick,1757,"65, 66"
Brennan Kennedy III,323,67
Brennan Kennedy III,1727,66
Bruno Tooyo,181,"68, 69"
Bruno Tooyo,1349,66
Caleb Hayden,34,"67, 68"
Caleb Hayden,1498,66
Chuchichaschtli Zopf,303,"67, 68, 69"
Chuchichaschtli Zopf,1514,66
Cillian Kavanagh,34,53
Cillian Kavanagh,69,54
Cob Corning,704,"68, 69"
Cob Corning,1758,"65, 66"
Cody Spinka,189,54
Cody Spinka,817,"57, 58"
Connor O'Byrne,653,61
Connor O'Byrne,1278,"62, 63, 64"
D Jobin,174,"67, 68"
D Jobin,1749,"65, 66"
Dalibor Dvoraky,30,67
Dalibor Dvoraky,1601,64
Dalton Canders,1348,74
Dalton Canders,1463,63
Dan Baltisberger,310,67
Dan Baltisberger,1585,"64, 65, 66"
Daniel Swift,27,"67, 68"
Daniel Swift,1511,66
David O'Connor,2281,"80, 83, 84"
David O'Connor,2430,"81, 82"
David-Arturri Donskoi,214,67
David-Arturri Donskoi,1587,"64, 65, 66"
Davos Otasrob,406,67
Davos Otasrob,863,70
Deemed Inappropriate,124,68
Deemed Inappropriate,1559,66
Devin Basher,230,53
Devin Basher,325,"54, 55, 56, 57"
Diablo Rose,194,67
Diablo Rose,1769,"65, 66"
Dimitris Chrysanthos,458,67
Dimitris Chrysanthos,1657,"64, 65, 66"
Din Djarin,196,67
