name_fix,PlayerID,seasons
Jeff Newman,1,"67, 68, 69, 70"
Sergei Potvinov,1,"53, 55"
Berry Blue,5,53
Rocky Baljoa,5,67
Lando Norris,6,53
Ragnar Lothbrok,6,"67, 68"
Bane,9,"55, 56, 57"
Shea O'Connall,9,"67, 68"
Fleetway Super Sonic,10,"55, 56"
Pete Aleman,10,"67, 68, 69, 70"
Derek Martin,16,"67, 68, 69, 70"
Grape Fruit,16,"55, 56, 57"
Mitchell van der Heijden,17,53
Tiberius Kane,17,"67, 68, 69, 70, 71"
Jason Desrouleaux,23,"53, 54, 55, 56"
Viktor Hargreeves,23,"67, 68, 69, 70"
Adrian O'Rugg,24,"67, 68, 69, 70"
Pablo Salvatici,24,"56, 57, 58, 59"
Daniel Swift,27,"67, 68"
Santtu Rasanen,27,"53, 54, 55, 56"
Dalibor Dvoraky,30,67
Friedensreich Hundertwass,30,"56, 57"
Friedensreich Hundertwasser,30,"58, 59, 60"
Peter Mollinek,31,"67, 68"
Renji Atake,31,"53, 54, 55, 57, 58, 59, 60, 61"
Kynwyl Pearce,32,"55, 56, 57, 58"
Marc Gorman,32,"67, 68"
Caleb Hayden,34,"67, 68"
Cillian Kavanagh,34,53
Edward Teach,36,55
Lorne Marshall,36,67
Chris Valentine,37,"67, 68, 69, 70"
Teylora Petrov,37,"56, 57"
Luciano Vessot,39,53
Potential Spam,39,"67, 68, 69"
Adam Scianna,40,"53, 54"
Nathan Meagher,40,"67, 68, 69, 70"
Martin Moore,41,67
Noah Nystrom,41,"53, 54, 55"
Gylfi Eriksson,46,53
Kevin Adkisson,46,67
Bobby McGinnis,49,"67, 68, 69"
Ryan Rieley,49,"55, 56"
Andrey Barbashev II,50,53
Thomas Kelley,50,67
Robert Endicott,51,67
Rocco Berni,51,"53, 54, 55"
Ethan Duncan,52,"53, 54, 55"
Hex Rose,52,57
Spike Poe,52,67
Ebenezer Virtanen,54,"53, 54"
Tommy Thompson,54,67
Morgan Forestier,55,53
Ralph Ryan,55,"67, 68"
Connor McKeil,56,"67, 68"
Daedalus James,56,"56, 57, 58"
James Boxman II,57,"54, 55"
Linus Grimstad,57,53
Tony Hawkey,57,67
Denny Sackett,59,67
Jaska Sepp?l? ,59,"54, 55"
Jaska Seppala,59,53
Kaapo Kampainen,59,"56, 57, 58, 59"
The Terrence,63,"67, 68"
Walter Burke,63,"56, 57, 58"
Gudmundur Kristj?nsson,64,"55, 56"
Ken McNamara,64,67
Moritz Muller,65,53
Otto McCall,65,67
Sanzhar Molochtovoi,65,"58, 59"
Bandit Heeler,66,"67, 68, 69, 70"
Peter Ramsey,66,"54, 55, 56, 57"
Henrik Svensson,67,"67, 68"
Nicolae Antonescu,67,"54, 55, 56, 57"
"Olli Saarinen, Jr.",67,53
Toasty,71,"68, 69"
Toasty O'Bigbers,71,67
Matt Ox,74,"67, 68, 70"
Ruggs McOoooh,74,"56, 57, 58, 59"
Benjamin Surkhi-Ze'ev,79,67
Duncan The Walrus,79,"58, 60"
Valentin Kalashnikov,79,"53, 54, 55"
Gravy Train,80,67
Marty Sertich,80,"53, 55, 56"
Lucas Hellquist,81,"53, 54"
Matiss Ozolinsh,81,"67, 68, 69, 70"
Petr Vrana,84,"67, 68, 69, 70, 71"
Thicc Cheezy,84,53
Al Kayhall,85,53
Supun Buddhadasa,85,54
Gerry Atrick,86,"56, 57, 58, 59, 60, 61"
Sophie Bordeleau,86,67
Alexander Roach,93,"53, 54, 55"
Bavel Pure,93,"67, 68"
Brian Davenport,98,"57, 58, 59, 60"
Raiya Rabinov,98,"67, 68, 69"
Sven Svechnikov,103,"60, 61"
Sven Svenchnikov,103,"57, 58, 59"
Sven Yxskaft,103,"53, 54, 55"
Axel Foley,111,"54, 55, 56"
Don Juanary,111,68
Liam Logger,113,68
Patrik Money,113,"54, 55, 56, 57, 58"
Marcus Ohlsson,114,53
owen johnson,114,68
Wile Coyote,120,54
Yuuto Kira Cloudera Jr.,120,"55, 56, 57, 58, 59"
Deemed Inappropriate,124,68
Domenic Alessandrini,124,53
Francois Breton,125,53
Joshua Horsemenzada,125,57
Aleksander Kozlov,140,"55, 56, 57"
Nikolai Skovgaard,140,"67, 68"
 Roc,142,"69, 70"
J- Roc,142,"67, 68"
Jukka Timonen,142,"53, 54"
Joshua Weber,143,67
Leonids Balzams,143,"54, 55, 56, 57"
Nathan Thomas,144,"56, 57"
Pawter Meowski,144,"67, 68, 69"
Jonas Kahnwald,145,"55, 56, 57"
Tom Pedersen,145,67
Andrei Nikitin,146,"67, 70"
Kai Ichinose,146,56
Erick Vasiljevs,147,"68, 69"
Erick Vasilkevs,147,67
Matthew McShane,150,67
SLATT Potts,150,54
Patrick Beaumont,151,67
Theo Kondos,151,"53, 54, 55, 56, 57"
Juli Scheinder,152,53
Tobias Wrexks,152,"67, 68, 71"
Brandt Underton,155,54
Johnny Patey,155,"53, 55, 63, 64"
Alexi Piastri,159,"67, 68, 69"
Ryuuji Minamino,159,"53, 54, 55"
(Clean) Andrei Kostitsyn,160,"53, 54, 55"
Mr. Gray T White,160,"67, 68, 69, 70, 71"
Anthony Dionne,165,"67, 68"
Separa Borro,165,"53, 54, 55"
Blunt Man,166,"54, 57"
Will Norborne,166,67
Steve Devore,167,67
Strom Chamberlain,167,"53, 54"
Jon St. Ark,168,"56, 57, 58, 59"
Sea Jebus,168,"67, 68, 69, 70"
Matty Sandeen,169,"56, 57, 58, 59"
Tommi Koivu,169,67
Wide Peepo Happy 3,170,67
Yompy Stearf,170,"53, 55"
Alex Petrenko,174,53
D Jobin,174,"67, 68"
