"PlayerID","TeamID","FranchiseID","LeagueID","SeasonID","GP","Minutes","Wins","Losses","OT","ShotsAgainst","Saves","GoalsAgainst","GAA","Shutouts","SavePct","GameRating"
"955","9","9","1","85","10","530","4","5","0","269","237","32","3.62","1","0.881","65"
"1246","15","15","1","85","9","440","6","1","0","240","211","29","3.95","0","0.879","63"
"2736","19","19","1","85","29","1633","18","8","1","809","695","114","4.19","1","0.859","58"
"2354","7","7","1","85","17","804","5","7","2","470","409","61","4.55","0","0.870","60"
"2635","14","14","1","85","28","1465","8","14","1","988","858","130","5.32","0","0.868","63"
"2575","11","11","0","85","42","2299","12","25","3","1214","1054","160","4.17","2","0.868","61"
"3669","3","3","1","85","34","1960","20","13","1","1047","906","141","4.32","0","0.865","61"
"3639","6","6","1","85","37","1970","18","17","0","1023","886","137","4.17","0","0.866","59"
"3069","17","17","1","85","42","2281","17","20","4","1337","1190","147","3.87","4","0.890","70"
"2894","8","8","1","85","40","1994","12","23","1","1280","1125","155","4.66","1","0.879","65"
"3442","4","4","1","85","26","1394","10","11","1","649","552","97","4.17","0","0.851","54"
"3006","7","7","1","85","39","2273","24","8","5","1061","934","127","3.35","5","0.880","65"
"3547","22","22","0","85","41","2239","20","15","2","1279","1129","150","4.02","0","0.883","66"
"3094","15","15","1","85","41","2392","30","7","3","1178","1059","119","2.98","1","0.899","70"
"3595","18","18","1","85","49","2895","25","19","5","1492","1311","181","3.75","1","0.879","64"
"3511","1","1","1","85","28","1525","16","9","0","672","594","78","3.07","2","0.884","63"
"3481","6","6","1","85","21","848","9","3","0","456","411","45","3.18","0","0.901","64"
"3497","9","9","1","85","40","2362","17","19","3","1238","1104","134","3.40","2","0.892","69"
"3421","14","14","1","85","31","1537","5","20","2","1000","852","148","5.77","0","0.852","56"
"2967","2","2","1","85","48","2671","24","22","2","1874","1677","197","4.42","1","0.895","75"
"3716","0","0","1","85","27","1520","10","14","1","774","674","100","3.95","0","0.871","61"
"3378","1","1","1","85","26","1424","17","5","2","679","607","72","3.03","1","0.894","68"
"3316","19","19","1","85","25","1255","13","7","1","569","499","70","3.34","1","0.877","60"
"3697","16","16","1","85","15","785","4","8","1","453","389","64","4.89","0","0.859","59"
"3154","2","2","0","85","40","2285","20","14","3","1244","1099","145","3.81","2","0.883","67"
"3287","0","0","1","85","27","1423","11","12","1","751","659","92","3.88","0","0.877","63"
"3141","5","5","1","85","33","1860","14","16","3","942","805","137","4.42","1","0.855","56"
"2921","21","21","0","85","21","1130","15","3","1","480","428","52","2.76","2","0.892","65"
"3176","16","16","1","85","38","2234","15","20","2","1338","1198","140","3.76","0","0.895","73"
"5394","0","0","0","85","38","2193","12","21","4","1099","956","143","3.91","1","0.870","61"
"5653","15","15","0","85","36","2094","17","18","0","1227","1070","157","4.50","3","0.872","64"
"5576","10","10","0","85","31","1726","14","12","2","829","719","110","3.82","2","0.867","59"
"5559","1","1","0","85","14","739","11","0","1","205","185","20","1.62","2","0.902","62"
"5552","3","3","0","85","24","1358","8","10","3","752","659","93","4.11","1","0.876","64"
"5524","8","8","0","85","39","2174","13","21","2","1234","1089","145","4.00","3","0.882","66"
"5422","7","7","0","85","21","1118","8","10","1","607","555","52","2.79","3","0.914","75"
"5404","5","5","0","85","14","736","6","6","0","413","363","50","4.07","1","0.879","64"
"4688","22","22","0","85","19","849","8","5","1","425","369","56","3.95","0","0.868","57"
"5139","14","14","0","85","19","972","10","3","2","389","355","34","2.10","4","0.913","70"
"5140","12","12","0","85","40","1915","4","31","2","1394","1215","179","5.61","0","0.872","62"
"4007","2","2","1","85","8","211","0","0","0","118","103","15","4.25","0","0.873","55"
"3785","17","17","1","85","16","604","1","6","0","353","308","45","4.46","1","0.873","59"
"3750","14","14","0","85","35","2037","23","12","0","1057","930","127","3.74","1","0.880","65"
"4463","0","0","0","85","17","886","6","8","0","474","418","56","3.79","0","0.882","64"
"4102","13","13","0","85","31","1356","1","19","1","852","730","122","5.39","1","0.857","56"
"4854","7","7","0","85","34","1953","12","18","2","1025","904","121","3.72","2","0.882","65"
"4170","15","15","0","85","19","908","9","4","2","475","412","63","4.16","0","0.867","59"
"4123","18","18","1","85","5","188","0","1","1","100","87","13","4.14","0","0.870","56"
"4478","4","4","0","85","39","2117","31","7","0","939","827","112","3.17","1","0.881","63"
"5118","12","12","0","85","25","1092","5","8","0","651","561","90","4.94","1","0.862","58"
"4632","6","6","0","85","13","591","2","7","0","404","340","64","6.49","0","0.842","52"
"4517","20","20","0","85","51","2745","17","32","2","1754","1535","219","4.79","2","0.875","65"
"4973","9","9","0","85","39","2324","35","3","1","1011","917","94","2.43","5","0.907","71"
"4468","25","25","0","85","49","2688","13","29","5","1762","1561","201","4.49","1","0.886","70"
"3843","23","23","0","85","42","2283","17","22","1","1332","1150","182","4.78","1","0.863","60"
"4987","23","23","0","85","20","779","9","2","0","394","346","48","3.69","0","0.878","59"
"4861","8","8","0","85","19","836","9","4","1","423","371","52","3.73","2","0.877","61"
"4903","24","24","0","85","41","2365","25","13","2","1168","1042","126","3.20","1","0.892","67"
"5016","24","24","0","85","12","642","5","5","0","392","350","42","3.92","0","0.893","71"
"4943","5","5","0","85","41","2319","30","9","0","1015","898","117","3.03","3","0.885","65"
"5166","21","21","0","85","35","1933","20","10","2","941","834","107","3.32","1","0.886","65"
"4309","4","4","1","85","29","1547","14","13","0","781","666","115","4.46","0","0.853","56"
"5279","1","1","0","85","38","2277","26","10","2","1051","904","147","3.87","1","0.860","59"
"4655","20","20","0","85","10","323","0","0","0","185","152","33","6.12","0","0.822","47"
"4815","19","19","0","85","13","739","10","2","0","256","237","19","1.54","5","0.926","73"
"4965","9","9","0","85","12","683","9","2","0","273","244","29","2.55","3","0.894","67"
"5347","18","18","0","85","18","878","9","2","0","371","320","51","3.49","1","0.863","57"
"5383","19","19","0","85","38","2272","24","13","1","945","825","120","3.17","4","0.873","61"
"4278","25","25","0","85","15","333","2","1","0","208","184","24","4.32","0","0.885","56"
"3746","6","6","0","85","46","2477","10","26","6","1418","1237","181","4.38","2","0.872","62"
"4329","11","11","0","85","18","720","1","9","0","484","412","72","6.00","0","0.851","54"
"4740","10","10","0","85","25","1288","13","8","1","660","573","87","4.05","2","0.868","60"
"4189","5","5","1","85","20","1024","8","7","0","512","452","60","3.52","1","0.883","62"
"4213","8","8","1","85","18","898","6","6","0","582","499","83","5.54","0","0.857","56"
"4214","3","3","1","85","17","866","8","4","1","361","317","44","3.05","4","0.878","63"
"4961","3","3","0","85","32","1717","8","22","0","1063","923","140","4.89","2","0.868","62"
"4546","4","4","0","85","19","943","11","2","0","434","379","55","3.50","1","0.873","60"
"4704","2","2","0","85","18","793","8","5","1","407","353","54","4.08","1","0.867","57"
"4455","13","13","0","85","34","1639","3","26","0","1099","952","147","5.38","1","0.866","59"
"4512","18","18","0","85","40","2206","25","12","3","1103","966","137","3.72","1","0.876","63"
"4478","4","4","0","84","53","3053","34","12","5","1432","1270","162","3.18","4","0.887","66"
"4903","24","24","0","84","53","3038","27","20","4","1622","1434","188","3.71","0","0.884","66"
"4965","25","25","0","84","25","934","4","4","4","495","422","73","4.69","0","0.853","54"
"4961","3","3","0","84","32","1700","11","13","1","960","828","132","4.66","0","0.863","59"
"4943","1","1","0","84","32","1924","21","8","2","998","898","100","3.12","2","0.900","72"
"4512","18","18","0","84","53","2916","37","10","4","1408","1231","177","3.64","0","0.874","61"
"3900","12","12","0","84","47","2026","7","18","2","1349","1176","173","5.12","0","0.872","60"
"4740","10","10","0","84","30","1449","9","12","1","844","728","116","4.80","0","0.863","59"
"4655","21","21","0","84","28","1271","6","11","4","652","557","95","4.48","0","0.854","55"
"4041","5","5","1","84","63","3434","22","39","1","2158","1872","286","5.00","1","0.867","61"
"4047","16","16","1","84","24","1246","14","4","1","608","549","59","2.84","1","0.903","69"
"4056","19","19","1","84","20","1132","7","10","1","650","564","86","4.56","0","0.868","62"
"4717","20","20","0","84","14","774","5","6","1","394","325","69","5.34","0","0.825","47"
"4174","13","13","0","84","23","1032","6","8","0","734","644","90","5.23","1","0.877","64"
"4704","2","2","0","84","26","1249","13","5","2","658","593","65","3.12","2","0.901","68"
"4830","12","12","0","84","45","1957","5","30","4","1485","1270","215","6.59","0","0.855","56"
"4455","14","14","0","84","49","2636","21","22","1","1320","1142","178","4.05","1","0.865","59"
"4309","3","3","1","84","5","288","1","3","0","113","97","16","3.33","0","0.858","56"
"4815","19","19","0","84","13","769","11","2","0","325","292","33","2.57","3","0.898","71"
"4688","22","22","0","84","28","1522","8","15","3","896","783","113","4.45","0","0.874","64"
"4854","7","7","0","84","51","2801","28","16","2","1559","1384","175","3.75","0","0.888","67"
"4170","15","15","0","84","29","1427","6","19","1","948","822","126","5.30","0","0.867","60"
"5394","0","0","0","84","29","1581","11","13","2","870","757","113","4.29","0","0.870","61"
"4068","18","18","1","84","57","3186","22","29","4","1666","1449","217","4.09","0","0.870","61"
"4069","3","3","1","84","57","3242","27","25","3","1530","1357","173","3.20","2","0.887","66"
"4468","25","25","0","84","58","3048","23","29","2","1670","1446","224","4.41","3","0.866","59"
"4070","5","5","1","84","16","521","1","2","1","298","254","44","5.06","0","0.852","53"
"4861","8","8","0","84","55","2789","18","24","4","1777","1548","229","4.93","1","0.871","62"
"4102","13","13","0","84","56","2948","19","29","4","2028","1772","256","5.21","0","0.874","65"
"4463","0","0","0","84","42","2408","19","19","2","1389","1226","163","4.06","2","0.883","68"
"4329","5","5","0","84","46","2625","26","14","4","1254","1110","144","3.29","1","0.885","65"
"4278","20","20","0","84","54","3204","30","22","2","1725","1544","181","3.39","3","0.895","70"
"5347","18","18","0","84","24","1073","13","2","0","522","462","60","3.35","0","0.885","62"
"5139","14","14","0","84","26","1344","15","6","1","645","568","77","3.44","1","0.881","62"
"4546","4","4","0","84","20","922","11","4","0","434","376","58","3.77","0","0.866","58"
"4987","23","23","0","84","28","1183","4","12","2","800","695","105","5.32","0","0.869","60"
"5279","1","1","0","84","35","2047","33","2","0","822","754","68","1.99","4","0.917","72"
"3750","10","10","0","84","45","2513","8","34","2","1558","1352","206","4.92","0","0.868","62"
"4517","19","19","0","84","54","3212","39","10","4","1357","1206","151","2.82","4","0.889","66"
"5016","24","24","0","84","18","935","7","8","0","579","500","79","5.07","0","0.864","60"
"4973","9","9","0","84","44","2626","38","5","1","1301","1162","139","3.17","2","0.893","70"
"5166","11","11","0","84","33","1646","11","14","3","822","723","99","3.61","1","0.880","61"
"4632","6","6","0","84","18","1024","9","7","2","489","422","67","3.93","0","0.863","59"
"5231","8","8","0","84","32","1196","6","13","1","786","664","122","6.12","0","0.845","52"
"3746","6","6","0","84","50","2966","27","18","3","1580","1402","178","3.60","3","0.887","69"
"5201","22","22","0","84","7","165","1","0","0","74","63","11","4.00","0","0.851","50"
"3843","23","23","0","84","50","2694","21","24","1","1520","1330","190","4.23","3","0.875","63"
"3018","4","4","3","84","7","372","3","2","1","206","179","27","4.34","1","0.869","61"
"3013","14","14","3","84","1","60","1","0","0","18","18","0","0.00","1","1.000","92"
"3015","9","9","3","84","3","180","2","1","0","89","80","9","3.00","0","0.899","72"
"3547","22","22","0","84","44","2299","17","19","3","1390","1197","193","5.03","0","0.861","59"
"2973","15","15","3","84","8","454","0","6","0","314","269","45","5.94","0","0.857","56"
"3006","7","7","1","84","46","2620","29","13","1","1267","1125","142","3.25","3","0.888","67"
"3001","13","13","3","84","1","51","0","0","0","26","24","2","2.33","0","0.923","74"
"2997","2","2","3","84","6","258","1","2","0","177","153","24","5.58","0","0.864","59"
"2988","6","6","3","84","6","259","0","5","0","189","159","30","6.95","0","0.841","53"
"2921","21","21","0","84","51","2715","29","11","5","1258","1127","131","2.89","5","0.896","67"
"2983","15","15","3","84","7","264","0","6","0","196","169","27","6.13","0","0.862","56"
"3511","1","1","1","84","43","1827","13","17","2","1141","990","151","4.96","1","0.868","58"
"3159","17","17","1","84","49","2697","21","26","1","1499","1339","160","3.56","3","0.893","69"
"3154","2","2","0","84","48","2724","22","22","2","1555","1372","183","4.03","0","0.882","66"
"3287","0","0","1","84","24","1272","12","10","1","680","586","94","4.43","0","0.862","59"
"3417","1","1","1","84","34","1780","12","17","1","1001","889","112","3.77","0","0.888","67"
"3421","14","14","1","84","47","2769","30","17","0","1322","1174","148","3.21","1","0.888","67"
"3433","17","17","1","84","26","1265","5","10","3","735","656","79","3.74","0","0.893","67"
"3438","8","8","1","84","41","2256","25","5","4","1087","949","138","3.67","1","0.873","61"
"3122","3","3","0","84","43","2275","5","35","1","1566","1346","220","5.80","0","0.860","58"
"3119","9","9","1","84","44","2542","27","15","1","1256","1123","133","3.14","4","0.894","69"
"3111","16","16","1","84","48","2726","28","15","4","1474","1311","163","3.59","3","0.889","69"
"3105","2","2","1","84","39","2116","15","18","0","1227","1062","165","4.68","2","0.866","61"
"3442","4","4","1","84","57","3066","23","29","2","1966","1735","231","4.52","2","0.883","66"
"3094","15","15","1","84","29","1503","18","8","1","740","663","77","3.07","3","0.896","68"
"3481","6","6","1","84","37","1597","14","12","1","924","807","117","4.39","1","0.873","59"
"3497","9","9","1","84","26","1447","11","11","1","686","604","82","3.40","3","0.880","63"
"3296","2","2","1","84","36","1830","8","24","1","1104","952","152","4.98","0","0.862","60"
"2894","8","8","1","84","34","1732","19","11","2","856","757","99","3.43","3","0.884","65"
"3639","15","15","1","84","44","2462","28","8","3","1112","976","136","3.31","1","0.878","62"
"2914","6","6","1","84","47","2362","17","21","1","1430","1253","177","4.50","1","0.876","63"
"3369","18","18","1","84","20","788","2","8","1","443","379","64","4.87","1","0.856","54"
"3697","0","0","1","84","44","2356","16","19","2","1167","1033","134","3.41","3","0.885","65"
"3669","4","4","1","84","20","894","2","9","1","553","476","77","5.17","0","0.861","58"
"2595","15","15","0","84","48","2534","10","27","3","1535","1352","183","4.33","1","0.881","66"
"2205","9","9","2","84","5","246","2","2","0","122","111","11","2.68","2","0.910","73"
"2443","4","4","3","84","6","351","4","2","0","175","152","23","3.93","0","0.869","61"
"2408","10","10","2","84","4","193","1","2","0","92","80","12","3.71","0","0.870","58"
"2736","19","19","1","84","51","2833","28","18","2","1473","1313","160","3.39","4","0.891","69"
"2401","5","5","2","84","5","298","1","4","0","152","131","21","4.21","0","0.862","58"
"2390","10","10","2","84","9","529","3","4","2","256","220","36","4.08","1","0.859","59"
"2506","7","7","3","84","6","359","4","2","0","189","166","23","3.84","0","0.878","65"
"2641","0","0","3","84","5","197","3","1","0","83","68","15","4.56","0","0.819","48"
"2635","14","14","1","84","22","1199","10","6","3","510","448","62","3.10","2","0.878","63"
"2683","9","9","3","84","9","537","5","4","0","254","228","26","2.90","0","0.898","70"
"2475","1","1","3","84","8","484","4","3","1","214","192","22","2.72","0","0.897","68"
"2615","12","12","3","84","11","556","4","4","1","338","295","43","4.64","1","0.873","62"
"2637","1","1","1","84","11","366","0","4","0","232","192","40","6.55","0","0.828","48"
"2497","13","13","3","84","12","665","4","8","0","437","383","54","4.87","0","0.876","64"
